BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,8,8,100.0000,0.3155
1,4.0000,ShortGroup,Up_90,9,9,100.0000,0.3990
1,4.0000,ShortGroup,Left_180,9,9,100.0000,0.2860
1,4.0000,ShortGroup,Down_270,8,8,100.0000,0.2905
2,4.1000,ShortGroup,Right_0,7,8,87.5000,0.3746
2,4.1000,ShortGroup,Up_90,8,8,100.0000,0.3800
2,4.1000,ShortGroup,Left_180,8,9,88.8889,0.2904
2,4.1000,ShortGroup,Down_270,8,8,100.0000,0.3050
3,4.7000,ShortGroup,Right_0,3,8,37.5000,0.3953
3,4.7000,ShortGroup,Up_90,3,9,33.3333,0.4342
3,4.7000,ShortGroup,Left_180,1,9,11.1111,0.2843
3,4.7000,ShortGroup,Down_270,2,9,22.2222,0.4011
4,5.0000,ShortGroup,Right_0,0,8,0.0000,NaN
4,5.0000,ShortGroup,Up_90,0,9,0.0000,NaN
4,5.0000,ShortGroup,Left_180,0,9,0.0000,NaN
4,5.0000,ShortGroup,Down_270,0,9,0.0000,NaN
5,5.1000,MidGroup,Right_0,7,8,87.5000,0.4104
5,5.1000,MidGroup,Up_90,8,9,88.8889,0.3592
5,5.1000,MidGroup,Left_180,9,9,100.0000,0.2972
5,5.1000,MidGroup,Down_270,8,8,100.0000,0.3050
6,5.7000,MidGroup,Right_0,7,7,100.0000,0.3937
6,5.7000,MidGroup,Up_90,6,7,85.7143,0.5092
6,5.7000,MidGroup,Left_180,9,9,100.0000,0.3027
6,5.7000,MidGroup,Down_270,8,9,88.8889,0.2926
7,6.0000,MidGroup,Right_0,7,8,87.5000,0.3128
7,6.0000,MidGroup,Up_90,6,8,75.0000,0.3925
7,6.0000,MidGroup,Left_180,6,9,66.6667,0.3148
7,6.0000,MidGroup,Down_270,8,9,88.8889,0.3008
8,6.1000,MidGroup,Right_0,5,8,62.5000,0.3909
8,6.1000,MidGroup,Up_90,4,9,44.4444,0.3675
8,6.1000,MidGroup,Left_180,5,8,62.5000,0.3142
8,6.1000,MidGroup,Down_270,8,9,88.8889,0.3154
9,6.7000,LongGroup,Right_0,8,9,88.8889,0.3509
9,6.7000,LongGroup,Up_90,7,9,77.7778,0.3628
9,6.7000,LongGroup,Left_180,6,9,66.6667,0.3008
9,6.7000,LongGroup,Down_270,5,7,71.4286,0.2742
10,7.0000,LongGroup,Right_0,8,9,88.8889,0.3633
10,7.0000,LongGroup,Up_90,7,9,77.7778,0.3913
10,7.0000,LongGroup,Left_180,8,9,88.8889,0.3217
10,7.0000,LongGroup,Down_270,7,8,87.5000,0.3056
11,7.6000,LongGroup,Right_0,7,8,87.5000,0.3651
11,7.6000,LongGroup,Up_90,9,9,100.0000,0.3620
11,7.6000,LongGroup,Left_180,9,9,100.0000,0.3657
11,7.6000,LongGroup,Down_270,9,9,100.0000,0.2842
12,7.8000,LongGroup,Right_0,9,9,100.0000,0.3675
12,7.8000,LongGroup,Up_90,9,9,100.0000,0.4397
12,7.8000,LongGroup,Left_180,9,9,100.0000,0.2639
12,7.8000,LongGroup,Down_270,8,8,100.0000,0.2697
