Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,RZ2Idx
12-09-2026,793.323040008545,960,320,1,1,1,1,NaN
12-09-2026,800.872087478638,960,320,1,1,1,1,NaN
12-09-2026,809.808969497681,960,320,1,1,1,1,NaN
12-09-2026,817.620038986206,960,320,1,1,1,1,NaN
12-09-2026,826.697111129761,960,320,1,1,1,1,NaN
12-09-2026,834.213972091675,960,320,1,1,1,1,NaN
12-09-2026,843.272924423218,960,320,1,1,1,1,NaN
12-09-2026,850.903987884521,960,320,1,1,1,1,NaN
12-09-2026,859.972953796387,960,320,1,1,1,1,NaN
12-09-2026,867.553949356079,960,320,1,1,1,1,NaN
12-09-2026,876.668930053711,960,320,1,1,1,1,NaN
12-09-2026,884.196996688843,960,320,1,1,1,1,NaN
12-09-2026,893.26810836792,960,320,1,1,1,1,NaN
12-09-2026,900.867938995361,960,320,1,1,1,1,NaN
12-09-2026,909.8060131073,960,320,1,1,1,1,NaN
12-09-2026,917.549133300781,960,320,1,1,1,1,NaN
12-09-2026,926.461935043335,960,320,1,1,1,1,NaN
12-09-2026,934.200048446655,960,320,1,1,1,1,NaN
12-09-2026,943.251132965088,960,320,1,1,1,1,NaN
12-09-2026,950.773000717163,960,320,1,1,1,1,NaN
12-09-2026,959.877967834473,960,320,1,1,1,1,NaN
12-09-2026,967.528104782104,960,320,1,1,1,1,NaN
12-09-2026,976.494073867798,960,320,1,1,1,1,NaN
12-09-2026,984.2369556427,960,320,1,1,1,1,NaN
12-09-2026,993.469953536987,960,320,1,1,1,1,NaN
12-09-2026,1000.77199935913,960,320,1,1,1,1,NaN
12-09-2026,1009.92012023926,960,320,1,1,1,1,NaN
12-09-2026,1017.52495765686,960,320,1,1,1,1,NaN
12-09-2026,1026.45397186279,960,320,1,1,1,1,NaN
12-09-2026,1034.19804573059,960,320,1,1,1,1,NaN
12-09-2026,1043.18594932556,960,320,1,1,1,1,NaN
12-09-2026,1050.86302757263,960,320,1,1,1,1,NaN
12-09-2026,1059.90290641785,960,320,1,1,1,1,NaN
12-09-2026,1067.44313240051,960,320,1,1,1,1,NaN
12-09-2026,1076.53903961182,960,320,1,1,1,1,NaN
12-09-2026,1084.19609069824,960,320,1,1,1,1,NaN
12-09-2026,1093.19400787354,960,320,1,1,1,1,NaN
12-09-2026,1100.84700584412,960,320,1,1,1,1,NaN
12-09-2026,1109.89212989807,960,320,1,1,1,1,NaN
12-09-2026,1117.52104759216,960,320,1,1,1,1,NaN
12-09-2026,1126.68609619141,960,320,1,1,1,1,NaN
12-09-2026,1134.18793678284,960,320,1,1,1,1,NaN
12-09-2026,1143.21899414062,960,320,1,1,1,1,NaN
12-09-2026,1150.81810951233,960,320,1,1,1,1,NaN
12-09-2026,1160.08305549622,960,320,1,1,1,1,NaN
12-09-2026,1167.52195358276,960,320,1,1,1,1,NaN
12-09-2026,1176.49412155151,960,320,1,1,1,1,NaN
12-09-2026,1184.18407440186,960,320,1,1,1,1,NaN
12-09-2026,1193.22395324707,960,320,1,1,1,1,NaN
12-09-2026,1200.86908340454,960,320,1,1,1,1,NaN
12-09-2026,1209.91396903992,960,320,1,1,1,1,NaN
12-09-2026,1217.53311157227,960,320,1,1,1,1,NaN
12-09-2026,1226.49908065796,960,320,1,1,1,1,NaN
12-09-2026,1234.18307304382,960,320,1,1,1,1,NaN
12-09-2026,1243.24202537537,960,320,1,1,1,1,NaN
12-09-2026,1250.85306167603,960,320,1,1,1,1,NaN
12-09-2026,1260.03408432007,960,320,1,1,1,1,NaN
12-09-2026,1267.51708984375,960,320,1,1,1,1,NaN
12-09-2026,1276.58009529114,960,320,1,1,1,1,NaN
12-09-2026,1284.09290313721,960,320,1,1,1,1,NaN
12-09-2026,1292.98996925354,960,320,1,1,1,1,NaN
12-09-2026,1300.88901519775,960,320,1,1,1,1,NaN
12-09-2026,1310.133934021,960,320,1,1,1,1,NaN
12-09-2026,1317.55399703979,960,320,1,1,1,1,NaN
12-09-2026,1326.70593261719,960,320,1,1,1,1,NaN
12-09-2026,1334.21111106873,960,320,1,1,1,1,NaN
12-09-2026,1343.26791763306,960,320,1,1,1,1,NaN
12-09-2026,1350.86297988892,960,320,1,1,1,1,NaN
12-09-2026,1360.05091667175,960,320,1,1,1,1,NaN
12-09-2026,1367.51699447632,960,320,1,1,1,1,NaN
12-09-2026,1376.47604942322,960,320,1,1,1,1,NaN
12-09-2026,1384.20510292053,960,320,1,1,1,1,NaN
12-09-2026,1393.36490631104,960,320,1,1,1,1,NaN
12-09-2026,1400.8800983429,960,320,1,1,1,1,NaN
12-09-2026,1409.92903709412,960,320,1,1,1,1,NaN
12-09-2026,1417.52409934998,960,320,1,1,1,1,NaN
12-09-2026,1426.56803131104,960,320,1,1,1,1,NaN
12-09-2026,1434.2200756073,960,320,1,1,1,1,NaN
12-09-2026,1443.284034729,960,320,1,1,1,1,NaN
12-09-2026,1450.82306861877,960,320,1,1,1,1,NaN
12-09-2026,1460.01005172729,960,320,1,1,1,1,NaN
12-09-2026,1467.50998497009,960,320,1,1,1,1,NaN
12-09-2026,1476.58705711365,960,320,1,1,1,1,NaN
12-09-2026,1484.08699035645,960,320,1,1,1,1,NaN
12-09-2026,1492.86413192749,960,320,1,1,1,1,NaN
12-09-2026,1500.87308883667,960,320,1,1,1,1,NaN
12-09-2026,1510.22696495056,960,320,1,1,1,1,NaN
12-09-2026,1517.52495765686,960,320,1,1,1,1,NaN
12-09-2026,1526.63493156433,960,320,1,1,1,1,NaN
12-09-2026,1534.18493270874,960,320,1,1,1,1,NaN
12-09-2026,1543.44010353088,960,320,1,1,1,1,NaN
12-09-2026,1550.84800720215,960,320,1,1,1,1,NaN
12-09-2026,1559.97204780579,960,320,1,1,1,1,NaN
12-09-2026,1567.52610206604,960,320,1,1,1,1,NaN
12-09-2026,1576.57408714294,960,320,1,1,1,1,NaN
12-09-2026,1584.17510986328,960,320,1,1,1,1,NaN
12-09-2026,1593.19996833801,960,320,1,1,1,1,NaN
12-09-2026,1600.87108612061,960,320,1,1,1,1,NaN
12-09-2026,1609.99798774719,960,320,1,1,1,1,NaN
12-09-2026,1617.51699447632,960,320,1,1,1,1,NaN
12-09-2026,1626.48296356201,960,320,1,1,1,1,NaN
12-09-2026,1634.13906097412,960,320,1,1,1,1,NaN
12-09-2026,1643.40305328369,960,320,1,1,1,1,NaN
12-09-2026,1650.85506439209,960,320,1,1,1,1,NaN
12-09-2026,1659.86800193787,960,320,1,1,1,1,NaN
12-09-2026,1667.49405860901,960,320,1,1,1,1,NaN
12-09-2026,1676.46813392639,960,320,1,1,1,1,NaN
12-09-2026,1684.15093421936,960,320,1,1,1,1,NaN
12-09-2026,1693.13597679138,960,320,1,1,1,1,NaN
12-09-2026,1700.83713531494,960,320,1,1,1,1,NaN
12-09-2026,1709.94710922241,960,320,1,1,1,1,NaN
12-09-2026,1717.49901771545,960,320,1,1,1,1,NaN
12-09-2026,1726.47595405579,960,320,1,1,1,1,NaN
12-09-2026,1734.17997360229,960,320,1,1,1,1,NaN
