BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct
1,4.0000,ShortGroup,Right_0,12,12,100.0000
1,4.0000,ShortGroup,Up_90,11,11,100.0000
1,4.0000,ShortGroup,Left_180,11,11,100.0000
1,4.0000,ShortGroup,Down_270,11,11,100.0000
2,4.1000,ShortGroup,Right_0,11,11,100.0000
2,4.1000,ShortGroup,Up_90,12,12,100.0000
2,4.1000,ShortGroup,Left_180,11,11,100.0000
2,4.1000,ShortGroup,Down_270,11,11,100.0000
3,4.7000,ShortGroup,Right_0,3,10,30.0000
3,4.7000,ShortGroup,Up_90,8,11,72.7273
3,4.7000,ShortGroup,Left_180,3,11,27.2727
3,4.7000,ShortGroup,Down_270,7,11,63.6364
4,5.0000,ShortGroup,Right_0,4,11,36.3636
4,5.0000,ShortGroup,Up_90,4,10,40.0000
4,5.0000,ShortGroup,Left_180,2,10,20.0000
4,5.0000,ShortGroup,Down_270,4,12,33.3333
5,5.1000,MidGroup,Right_0,7,10,70.0000
5,5.1000,MidGroup,Up_90,8,10,80.0000
5,5.1000,MidGroup,Left_180,7,11,63.6364
5,5.1000,MidGroup,Down_270,6,10,60.0000
6,5.7000,MidGroup,Right_0,4,9,44.4444
6,5.7000,MidGroup,Up_90,6,11,54.5455
6,5.7000,MidGroup,Left_180,10,12,83.3333
6,5.7000,MidGroup,Down_270,9,11,81.8182
7,6.0000,MidGroup,Right_0,9,11,81.8182
7,6.0000,MidGroup,Up_90,10,10,100.0000
7,6.0000,MidGroup,Left_180,9,11,81.8182
7,6.0000,MidGroup,Down_270,9,11,81.8182
8,6.1000,MidGroup,Right_0,7,10,70.0000
8,6.1000,MidGroup,Up_90,10,10,100.0000
8,6.1000,MidGroup,Left_180,7,9,77.7778
8,6.1000,MidGroup,Down_270,8,11,72.7273
9,6.7000,LongGroup,Right_0,10,12,83.3333
9,6.7000,LongGroup,Up_90,10,10,100.0000
9,6.7000,LongGroup,Left_180,10,12,83.3333
9,6.7000,LongGroup,Down_270,9,11,81.8182
10,7.0000,LongGroup,Right_0,11,11,100.0000
10,7.0000,LongGroup,Up_90,9,12,75.0000
10,7.0000,LongGroup,Left_180,10,11,90.9091
10,7.0000,LongGroup,Down_270,11,11,100.0000
11,7.6000,LongGroup,Right_0,11,11,100.0000
11,7.6000,LongGroup,Up_90,10,10,100.0000
11,7.6000,LongGroup,Left_180,11,11,100.0000
11,7.6000,LongGroup,Down_270,11,11,100.0000
12,7.8000,LongGroup,Right_0,11,11,100.0000
12,7.8000,LongGroup,Up_90,11,11,100.0000
12,7.8000,LongGroup,Left_180,10,10,100.0000
12,7.8000,LongGroup,Down_270,11,11,100.0000
