Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,MoveTime_ms
26-08-2026,2915.34805297852,960,546.108829004791,6,1,1,1,0
26-08-2026,2925.861120224,960,546.108829004791,6,1,1,1,10.5130672454834
26-08-2026,2933.01105499268,960,546.108829004791,6,1,1,1,17.6630020141602
26-08-2026,2942.6281452179,960,546.108829004791,6,1,1,1,27.2800922393799
26-08-2026,2947.62396812439,960,546.108829004791,6,1,1,1,32.275915145874
26-08-2026,2956.9571018219,960,546.108829004791,6,1,1,1,41.6090488433838
26-08-2026,2964.37191963196,960,546.108829004791,6,1,1,1,49.0238666534424
26-08-2026,2973.62399101257,960,546.108829004791,6,1,1,1,58.2759380340576
26-08-2026,2980.93199729919,960,546.108829004791,6,1,1,1,65.5839443206787
26-08-2026,2990.39006233215,960,546.108829004791,6,1,1,1,75.0420093536377
26-08-2026,2997.49898910522,960,546.108829004791,6,1,1,1,82.150936126709
26-08-2026,3006.89506530762,960,546.108829004791,6,1,1,1,91.5470123291016
26-08-2026,3014.28699493408,960,546.108829004791,6,1,1,1,98.9389419555664
26-08-2026,3023.79608154297,960,546.108829004791,6,1,1,1,108.448028564453
26-08-2026,3030.82609176636,960,546.108829004791,6,1,1,1,115.478038787842
26-08-2026,3040.30895233154,960,546.108829004791,6,1,1,1,124.960899353027
26-08-2026,3047.49608039856,960,546.108829004791,6,1,1,1,132.148027420044
26-08-2026,3056.84304237366,960,547.929868465224,6,1,1,1,141.494989395142
26-08-2026,3064.24498558044,960,549.772331919309,6,1,1,1,148.896932601929
26-08-2026,3073.63414764404,960,551.593371379742,6,1,1,1,158.286094665527
26-08-2026,3080.90114593506,960,555.235450300607,6,1,1,1,165.553092956543
26-08-2026,3090.32702445984,960,566.183111056856,6,1,1,1,174.978971481323
26-08-2026,3097.56207466125,960,571.646229438154,6,1,1,1,182.214021682739
26-08-2026,3106.9540977478,960,582.593890194403,6,1,1,1,191.606044769287
26-08-2026,3114.24493789673,960,586.235969115268,6,1,1,1,198.896884918213
26-08-2026,3123.86393547058,960,589.878048036134,6,1,1,1,208.515882492065
26-08-2026,3131.47497177124,960,600.825708792383,6,1,1,1,216.126918792725
26-08-2026,3141.12401008606,960,600.825708792383,6,1,1,1,225.775957107544
26-08-2026,3147.84598350525,960,602.646748252815,6,1,1,1,232.497930526733
26-08-2026,3157.33599662781,960,602.646748252815,6,1,1,1,241.987943649292
26-08-2026,3164.3009185791,960,602.646748252815,6,1,1,1,248.952865600586
26-08-2026,3173.60401153564,960,602.646748252815,6,1,1,1,258.255958557129
26-08-2026,3180.87601661682,927.587878048036,602.646748252815,6,1,1,1,265.527963638306
26-08-2026,3190.44899940491,888.700949125645,602.646748252815,6,1,1,1,275.100946426392
26-08-2026,3197.64399528503,849.814020203253,600.825708792383,7,1,1,1,282.295942306519
26-08-2026,3206.98714256287,817.401898251289,600.825708792383,7,1,1,1,291.639089584351
26-08-2026,3214.87212181091,788.227179784539,599.00466933195,7,1,1,1,299.524068832397
26-08-2026,3224.26009178162,733.115146336253,595.341166417432,7,1,1,1,308.912038803101
26-08-2026,3232.42497444153,707.177831354717,595.341166417432,7,1,1,1,317.076921463013
26-08-2026,3245.20397186279,687.715323343608,595.341166417432,7,1,1,1,329.855918884277
26-08-2026,3252.66408920288,681.24051637318,597.162205877865,7,1,1,1,337.316036224365
26-08-2026,3262.31813430786,658.540604876858,597.162205877865,7,1,1,1,346.970081329346
26-08-2026,3264.56999778748,652.06579790643,597.162205877865,7,1,1,1,349.22194480896
26-08-2026,3273.90599250793,645.590990936003,597.162205877865,7,1,1,1,358.557939529419
26-08-2026,3281.21113777161,622.89107943968,597.162205877865,7,1,1,1,365.863084793091
26-08-2026,3290.7600402832,603.428571428571,597.162205877865,7,1,1,1,375.411987304688
26-08-2026,3300.26197433472,580.728659932249,597.162205877865,8,1,1,1,384.913921356201
26-08-2026,3313.44103813171,532.129520554216,593.520126956999,8,1,1,1,398.092985153198
26-08-2026,3319.83613967896,525.654713583789,589.878048036134,8,1,1,1,404.488086700439
26-08-2026,3329.65707778931,519.141819513535,586.235969115268,8,1,1,1,414.309024810791
26-08-2026,3331.47192001343,519.141819513535,586.235969115268,8,1,1,1,416.123867034912
26-08-2026,3341.13311767578,512.667012543107,582.593890194403,8,1,1,1,425.785064697266
26-08-2026,3347.95808792114,506.19220557268,580.751426740318,8,1,1,1,432.610034942627
26-08-2026,3357.53202438354,499.717398602252,577.109347819453,8,1,1,1,442.183971405029
26-08-2026,3364.31407928467,493.204504531999,573.467268898587,8,1,1,1,448.966026306152
26-08-2026,3373.72398376465,489.967101046785,569.825189977721,8,1,1,1,458.375930786133
26-08-2026,3381.04605674744,486.729697561571,566.183111056856,8,1,1,1,465.698003768921
26-08-2026,3390.47312736511,483.492294076357,566.183111056856,8,1,1,1,475.125074386597
26-08-2026,3397.79591560364,483.492294076357,566.183111056856,8,1,1,1,482.447862625122
26-08-2026,3407.3441028595,483.492294076357,564.340647602771,8,1,1,1,491.996049880981
26-08-2026,3414.4070148468,483.492294076357,564.340647602771,8,1,1,1,499.058961868286
26-08-2026,3424.06296730042,477.01748710593,562.519608142338,8,1,1,1,508.714914321899
26-08-2026,3431.1101436615,477.01748710593,562.519608142338,8,1,1,1,515.762090682983
26-08-2026,3440.84095954895,464.029786065249,562.519608142338,8,1,1,1,525.492906570435
26-08-2026,3447.73101806641,444.605365153966,562.519608142338,8,1,1,1,532.382965087891
26-08-2026,3457.37504959106,444.605365153966,562.519608142338,8,1,1,1,542.026996612549
26-08-2026,3464.42198753357,441.367961668752,562.519608142338,8,1,1,1,549.073934555054
26-08-2026,3474.17712211609,438.130558183538,562.519608142338,8,1,1,1,558.829069137573
26-08-2026,3481.12297058105,438.130558183538,562.519608142338,8,1,1,1,565.774917602539
26-08-2026,3490.79608917236,438.130558183538,562.519608142338,8,1,1,1,575.448036193848
26-08-2026,3497.74098396301,438.130558183538,562.519608142338,8,1,1,1,582.392930984497
26-08-2026,3507.34710693359,438.130558183538,562.519608142338,8,1,1,1,591.999053955078
26-08-2026,3514.46413993835,438.130558183538,562.519608142338,8,1,1,1,599.116086959839
26-08-2026,3524.05214309692,438.130558183538,562.519608142338,8,1,1,1,608.704090118408
26-08-2026,3531.07714653015,438.130558183538,562.519608142338,8,1,1,1,615.729093551636
26-08-2026,3540.85397720337,441.367961668752,562.519608142338,8,1,1,1,625.505924224854
26-08-2026,3547.83797264099,447.84276863918,562.519608142338,8,1,1,1,632.489919662476
26-08-2026,3557.62791633606,473.780083620716,562.519608142338,8,1,1,1,642.279863357544
