Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,TotalTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt
26-08-2026,1,1,ShortGroup,4.00,0.2678,0.0836,0.3514,1,0,Left_180,Left_180,Left_180,1,0,None,1
26-08-2026,1,2,LongGroup,7.00,0.3344,0.1834,0.5178,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1
26-08-2026,1,3,LongGroup,7.80,0.2509,0.0502,0.3011,1,0,Down_270,Down_270,Down_270,3,1,Right_0,1
26-08-2026,1,4,MidGroup,5.10,0.2842,0.0671,0.3514,1,0,Left_180,Left_180,Left_180,2,1,Down_270,1
26-08-2026,1,5,LongGroup,7.80,0.3842,0.0508,0.4349,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1
26-08-2026,1,6,MidGroup,6.10,0.3175,0.1334,0.4509,1,0,Right_0,Right_0,Right_0,2,1,Right_0,1
26-08-2026,1,7,ShortGroup,4.00,0.3509,0.1333,0.4842,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1
26-08-2026,1,8,ShortGroup,4.70,0.3177,1.3998,1.7175,0,2,Up_90,Down_270,Right_0,2,1,Up_90,2
26-08-2026,1,8,ShortGroup,4.70,0.3511,0.2003,0.5514,0,2,Up_90,Left_180,Right_0,3,0,Up_90,3
26-08-2026,1,8,ShortGroup,4.70,0.3508,0.2342,0.5851,0,2,Up_90,Left_180,Right_0,2,0,Up_90,4
26-08-2026,1,8,ShortGroup,4.70,0.3675,0.9509,1.3184,0,2,Right_0,Up_90,Right_0,3,0,Up_90,5
26-08-2026,1,9,ShortGroup,4.10,0.2675,0.0334,0.3009,1,0,Left_180,Left_180,Left_180,1,0,Right_0,1
26-08-2026,1,10,MidGroup,5.70,0.3508,0.2334,0.5842,1,0,Up_90,Up_90,Up_90,2,1,Left_180,1
26-08-2026,1,11,MidGroup,6.00,0.4844,0.3998,0.8843,1,0,Up_90,Up_90,Up_90,2,1,Up_90,1
26-08-2026,1,12,MidGroup,6.10,0.3009,0.1000,0.4009,1,0,Down_270,Down_270,Down_270,2,1,Up_90,1
26-08-2026,1,13,ShortGroup,4.10,0.3676,0.0500,0.4176,1,0,Right_0,Right_0,Right_0,1,1,Down_270,1
26-08-2026,1,14,ShortGroup,5.00,0.3675,0.2001,0.5676,0,2,Up_90,Right_0,Right_0,2,1,Right_0,1
26-08-2026,1,14,ShortGroup,5.00,0.2842,0.0835,0.3677,0,2,Down_270,Up_90,Right_0,3,0,Up_90,2
26-08-2026,1,14,ShortGroup,5.00,0.2842,0.0836,0.3678,1,0,Down_270,Down_270,Right_0,1,0,Down_270,3
26-08-2026,1,15,LongGroup,7.00,0.2678,0.0669,0.3347,1,0,Left_180,Left_180,Left_180,3,1,Down_270,1
26-08-2026,1,16,MidGroup,6.10,0.3007,0.0670,0.3678,1,0,Left_180,Left_180,Left_180,2,1,Left_180,1
26-08-2026,1,17,MidGroup,5.70,0.2675,0.0500,0.3176,1,0,Left_180,Left_180,Left_180,2,1,Left_180,1
26-08-2026,1,18,LongGroup,7.60,0.2842,0.0338,0.3179,1,0,Left_180,Left_180,Left_180,3,1,Left_180,1
26-08-2026,1,19,MidGroup,5.10,0.3675,0.5333,0.9008,1,0,Up_90,Up_90,Up_90,2,1,Left_180,1
26-08-2026,1,20,ShortGroup,4.00,0.3010,0.0832,0.3843,1,0,Down_270,Down_270,Down_270,1,1,Up_90,1
26-08-2026,1,21,ShortGroup,4.10,0.4341,0.1502,0.5843,1,0,Up_90,Up_90,Up_90,1,1,Down_270,1
26-08-2026,1,22,LongGroup,7.00,0.3844,0.5499,0.9342,0,2,Right_0,Up_90,Up_90,2,1,Up_90,1
26-08-2026,1,22,LongGroup,7.00,0.3675,0.3167,0.6842,1,0,Right_0,Right_0,Up_90,3,0,Right_0,2
26-08-2026,1,23,MidGroup,5.10,0.2841,0.1000,0.3842,1,0,Down_270,Down_270,Down_270,2,1,Right_0,1
26-08-2026,1,24,ShortGroup,5.00,0.4842,0.1500,0.6342,0,2,Up_90,Down_270,Down_270,2,1,Down_270,1
26-08-2026,1,24,ShortGroup,5.00,0.5676,1.9000,2.4676,0,2,Right_0,Left_180,Down_270,3,0,Up_90,2
26-08-2026,1,24,ShortGroup,5.00,0.2509,0.0500,0.3009,1,0,Left_180,Left_180,Down_270,1,0,Right_0,3
26-08-2026,1,25,LongGroup,7.80,0.4008,0.1333,0.5342,1,0,Up_90,Up_90,Up_90,3,1,Left_180,1
26-08-2026,1,26,MidGroup,6.00,0.4344,0.6498,1.0842,1,0,Right_0,Right_0,Right_0,2,1,Up_90,1
26-08-2026,1,27,LongGroup,6.70,0.2675,0.0667,0.3342,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1
26-08-2026,1,28,ShortGroup,5.00,0.4008,0.5000,0.9009,0,2,Right_0,Left_180,Left_180,2,1,Left_180,1
26-08-2026,1,28,ShortGroup,5.00,0.3680,0.6663,1.0342,0,2,Right_0,Down_270,Left_180,2,0,Right_0,2
26-08-2026,1,28,ShortGroup,5.00,0.3676,0.2166,0.5842,1,0,Up_90,Up_90,Left_180,1,0,Right_0,3
26-08-2026,1,29,ShortGroup,4.70,0.2842,0.0505,0.3346,0,2,Left_180,Down_270,Down_270,2,1,Up_90,1
26-08-2026,1,29,ShortGroup,4.70,0.5678,0.2498,0.8176,1,0,Right_0,Right_0,Down_270,1,0,Left_180,2
26-08-2026,1,30,LongGroup,7.60,0.3675,0.1834,0.5509,1,0,Right_0,Right_0,Right_0,3,1,Right_0,1
26-08-2026,1,31,LongGroup,6.70,0.3341,0.1335,0.4676,1,0,Up_90,Up_90,Up_90,3,1,Right_0,1
26-08-2026,1,32,LongGroup,7.60,0.4007,0.1168,0.5175,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1
26-08-2026,1,33,MidGroup,6.00,0.3010,0.1333,0.4342,1,0,Down_270,Down_270,Down_270,2,1,Up_90,1
26-08-2026,1,34,MidGroup,6.10,0.3008,0.6001,0.9009,1,0,Up_90,Up_90,Up_90,2,1,Down_270,1
26-08-2026,1,35,LongGroup,7.80,0.2844,0.0998,0.3842,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1
26-08-2026,1,36,ShortGroup,4.10,0.3008,0.0668,0.3676,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1
26-08-2026,1,37,MidGroup,6.00,0.3009,0.1167,0.4176,1,0,Left_180,Left_180,Left_180,2,1,Down_270,1
26-08-2026,1,38,MidGroup,5.70,0.3509,0.5500,0.9009,1,0,Down_270,Down_270,Down_270,2,1,Left_180,1
26-08-2026,1,39,MidGroup,5.70,0.3009,0.6833,0.9842,1,0,Right_0,Right_0,Right_0,2,1,Down_270,1
26-08-2026,1,40,ShortGroup,4.70,0.4008,0.1334,0.5342,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1
26-08-2026,1,41,LongGroup,7.00,0.2842,0.0836,0.3678,1,0,Down_270,Down_270,Down_270,3,1,Up_90,1
26-08-2026,1,42,ShortGroup,4.70,0.2675,0.3499,0.6175,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1
26-08-2026,1,43,LongGroup,6.70,0.3675,0.0667,0.4342,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1
26-08-2026,1,44,MidGroup,5.10,0.3508,1.8167,2.1675,1,0,Right_0,Right_0,Right_0,2,1,Right_0,1
26-08-2026,1,45,LongGroup,6.70,0.2841,0.3834,0.6674,1,0,Down_270,Down_270,Down_270,3,1,Right_0,1
26-08-2026,1,46,ShortGroup,4.00,0.3008,0.1501,0.4509,1,0,Right_0,Right_0,Right_0,1,1,Down_270,1
26-08-2026,1,47,LongGroup,7.60,0.2676,0.1000,0.3675,1,0,Down_270,Down_270,Down_270,3,1,Right_0,1
26-08-2026,1,48,ShortGroup,5.00,0.3008,0.1167,0.4175,0,2,Left_180,Up_90,Up_90,2,1,Down_270,1
26-08-2026,1,48,ShortGroup,5.00,0.2675,0.4667,0.7342,0,2,Up_90,Right_0,Up_90,3,0,Left_180,2
26-08-2026,1,48,ShortGroup,5.00,0.2342,0.0667,0.3009,1,0,Left_180,Left_180,Up_90,1,0,Up_90,3
26-08-2026,2,1,ShortGroup,4.00,0.3509,0.1667,0.5175,1,0,Up_90,Up_90,Up_90,1,1,Left_180,1
26-08-2026,2,2,MidGroup,5.70,0.4344,0.0998,0.5342,1,0,Right_0,Right_0,Right_0,2,1,Up_90,1
26-08-2026,2,3,MidGroup,6.10,0.4845,1.4997,1.9841,1,0,Right_0,Right_0,Right_0,2,1,Right_0,1
26-08-2026,2,4,LongGroup,6.70,0.3342,0.2000,0.5342,1,0,Right_0,Right_0,Right_0,3,1,Right_0,1
26-08-2026,2,5,ShortGroup,5.00,0.3674,0.2001,0.5676,1,0,Right_0,Right_0,Right_0,1,1,Right_0,1
26-08-2026,2,6,LongGroup,7.80,0.2842,0.0501,0.3343,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1
26-08-2026,2,7,ShortGroup,4.70,0.3175,0.2834,0.6009,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1
26-08-2026,2,8,MidGroup,5.10,0.3343,0.1000,0.4343,1,0,Left_180,Left_180,Left_180,2,1,Down_270,1
26-08-2026,2,9,ShortGroup,5.00,0.2675,0.0667,0.3342,0,2,Left_180,Up_90,Up_90,2,1,Left_180,1
26-08-2026,2,9,ShortGroup,5.00,0.3509,0.1667,0.5176,1,0,Up_90,Up_90,Up_90,1,0,Left_180,2
26-08-2026,2,10,LongGroup,6.70,0.4509,0.1834,0.6342,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1
26-08-2026,2,11,MidGroup,6.00,0.3008,0.4501,0.7509,1,0,Left_180,Left_180,Left_180,2,1,Up_90,1
