Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,ReactionTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
28-08-2026,1,1,LongGroup,7.00,NaN,NaN,NaN,0,1,None,Right_0,Right_0,0,0,None,1,3,3cat
28-08-2026,1,6,ShortGroup,4.70,0.0971,0.6513,0.7484,0,2,Down_270,Up_90,Up_90,2,0,None,1,3,3cat
28-08-2026,1,7,LongGroup,7.60,-0.3818,0.4223,0.0404,1,0,Left_180,Left_180,Left_180,3,0,Down_270,1,3,3cat
28-08-2026,1,8,ShortGroup,4.00,-0.3168,NaN,NaN,0,1,None,Down_270,Down_270,0,1,Left_180,1,3,3cat
28-08-2026,1,9,MidGroup,5.70,-0.5997,0.9149,0.3152,1,0,Left_180,Left_180,Left_180,2,0,None,1,3,3cat
28-08-2026,1,10,LongGroup,7.00,0.5698,-0.3835,0.1863,1,0,Up_90,Up_90,Up_90,3,1,Left_180,1,3,3cat
28-08-2026,1,11,ShortGroup,5.00,-0.5378,0.6366,0.0988,1,0,Down_270,Down_270,Down_270,1,1,Up_90,1,3,3cat
28-08-2026,1,12,MidGroup,6.10,-0.8534,0.9433,0.0899,1,0,Down_270,Down_270,Down_270,2,1,Down_270,1,3,3cat
28-08-2026,1,13,LongGroup,7.60,-0.9641,0.5987,-0.3653,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,3,3cat
28-08-2026,1,14,ShortGroup,4.10,NaN,NaN,NaN,0,1,None,Left_180,Left_180,0,1,Down_270,1,3,3cat
28-08-2026,1,15,LongGroup,7.00,-0.4364,NaN,NaN,0,1,None,Down_270,Down_270,0,0,None,1,3,3cat
28-08-2026,1,16,LongGroup,7.80,NaN,NaN,NaN,0,1,None,Left_180,Left_180,0,0,None,1,3,3cat
28-08-2026,1,17,ShortGroup,5.00,-0.7832,NaN,NaN,0,1,None,Left_180,Left_180,0,0,None,1,3,3cat
28-08-2026,1,18,ShortGroup,4.00,-1.5377,NaN,NaN,0,1,None,Left_180,Left_180,0,0,None,1,3,3cat
28-08-2026,1,19,LongGroup,7.80,-1.4533,NaN,NaN,0,1,None,Right_0,Right_0,0,0,None,1,3,3cat
28-08-2026,1,20,ShortGroup,4.70,-1.4645,0.1092,-1.3553,1,0,Right_0,Right_0,Right_0,1,0,None,1,3,3cat
28-08-2026,1,21,ShortGroup,4.00,-1.3589,NaN,NaN,0,1,None,Right_0,Right_0,0,1,Right_0,1,3,3cat
28-08-2026,1,22,LongGroup,7.80,-1.8051,NaN,NaN,0,1,None,Down_270,Down_270,0,0,None,1,3,3cat
28-08-2026,1,23,LongGroup,7.60,-1.8234,NaN,NaN,0,1,None,Up_90,Up_90,0,0,None,1,3,3cat
28-08-2026,1,24,MidGroup,6.00,-1.8380,NaN,NaN,0,1,None,Down_270,Down_270,0,0,None,1,3,3cat
28-08-2026,1,25,ShortGroup,4.10,NaN,NaN,NaN,0,1,None,Down_270,Down_270,0,0,None,1,3,3cat
