BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,8,8,100.0000,0.3925
1,4.0000,ShortGroup,Up_90,7,7,100.0000,0.3985
1,4.0000,ShortGroup,Left_180,7,7,100.0000,0.2889
1,4.0000,ShortGroup,Down_270,8,8,100.0000,0.2967
2,4.1000,ShortGroup,Right_0,7,7,100.0000,0.3771
2,4.1000,ShortGroup,Up_90,7,7,100.0000,0.3533
2,4.1000,ShortGroup,Left_180,7,7,100.0000,0.2651
2,4.1000,ShortGroup,Down_270,7,7,100.0000,0.2794
3,4.7000,ShortGroup,Right_0,0,8,0.0000,NaN
3,4.7000,ShortGroup,Up_90,3,8,37.5000,0.3731
3,4.7000,ShortGroup,Left_180,4,8,50.0000,0.2801
3,4.7000,ShortGroup,Down_270,1,7,14.2857,0.4175
4,5.0000,ShortGroup,Right_0,0,8,0.0000,0.6675
4,5.0000,ShortGroup,Up_90,2,7,28.5714,0.3009
4,5.0000,ShortGroup,Left_180,0,7,0.0000,NaN
4,5.0000,ShortGroup,Down_270,1,7,14.2857,0.3008
5,5.1000,MidGroup,Right_0,6,7,85.7143,0.4620
5,5.1000,MidGroup,Up_90,5,7,71.4286,0.3743
5,5.1000,MidGroup,Left_180,5,7,71.4286,0.2775
5,5.1000,MidGroup,Down_270,5,7,71.4286,0.3075
6,5.7000,MidGroup,Right_0,7,8,87.5000,0.4246
6,5.7000,MidGroup,Up_90,6,7,85.7143,0.4151
6,5.7000,MidGroup,Left_180,5,7,71.4286,0.2909
6,5.7000,MidGroup,Down_270,7,7,100.0000,0.3199
7,6.0000,MidGroup,Right_0,5,7,71.4286,0.4141
7,6.0000,MidGroup,Up_90,7,8,87.5000,0.4175
7,6.0000,MidGroup,Left_180,6,7,85.7143,0.3064
7,6.0000,MidGroup,Down_270,7,7,100.0000,0.3081
8,6.1000,MidGroup,Right_0,7,7,100.0000,0.3937
8,6.1000,MidGroup,Up_90,5,8,62.5000,0.3742
8,6.1000,MidGroup,Left_180,8,8,100.0000,0.2946
8,6.1000,MidGroup,Down_270,4,7,57.1429,0.3383
9,6.7000,LongGroup,Right_0,6,8,75.0000,0.3619
9,6.7000,LongGroup,Up_90,5,7,71.4286,0.4008
9,6.7000,LongGroup,Left_180,6,8,75.0000,0.2926
9,6.7000,LongGroup,Down_270,6,8,75.0000,0.2897
10,7.0000,LongGroup,Right_0,7,7,100.0000,0.3508
10,7.0000,LongGroup,Up_90,7,7,100.0000,0.3866
10,7.0000,LongGroup,Left_180,5,8,62.5000,0.2908
10,7.0000,LongGroup,Down_270,7,7,100.0000,0.2889
11,7.6000,LongGroup,Right_0,7,8,87.5000,0.3675
11,7.6000,LongGroup,Up_90,8,8,100.0000,0.4258
11,7.6000,LongGroup,Left_180,7,8,87.5000,0.2961
11,7.6000,LongGroup,Down_270,8,8,100.0000,0.2779
12,7.8000,LongGroup,Right_0,8,8,100.0000,0.4321
12,7.8000,LongGroup,Up_90,7,8,87.5000,0.4223
12,7.8000,LongGroup,Left_180,8,8,100.0000,0.2758
12,7.8000,LongGroup,Down_270,6,7,85.7143,0.2758
