Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,RZ2Idx,MoveTime_ms
19-09-2026,2685.03904342651,960,524.234931485946,6,1,1,1,NaN,0
19-09-2026,2694.31805610657,960,524.234931485946,6,1,1,1,NaN,9.27901268005371
19-09-2026,2701.23410224915,960,524.234931485946,6,1,1,1,NaN,16.1950588226318
19-09-2026,2710.44921875,960,524.234931485946,6,1,1,1,NaN,25.4101753234863
19-09-2026,2717.63706207275,960,524.234931485946,6,1,1,1,NaN,32.5980186462402
19-09-2026,2726.83811187744,960,524.234931485946,6,1,1,1,NaN,41.7990684509277
19-09-2026,2734.26723480225,960,524.234931485946,6,1,1,1,NaN,49.2281913757324
19-09-2026,2743.56412887573,960,524.234931485946,6,1,1,1,NaN,58.5250854492188
19-09-2026,2751.00302696228,960,524.234931485946,6,1,1,1,NaN,65.9639835357666
19-09-2026,2760.19620895386,960,526.055970946379,6,1,1,1,NaN,75.1571655273438
19-09-2026,2767.6420211792,960,526.055970946379,6,1,1,1,NaN,82.6029777526855
19-09-2026,2776.88217163086,960,526.055970946379,6,1,1,1,NaN,91.8431282043457
19-09-2026,2784.29102897644,960,526.055970946379,6,1,1,1,NaN,99.2519855499268
19-09-2026,2793.31421852112,960,527.877010406812,6,1,1,1,NaN,108.275175094604
19-09-2026,2800.9660243988,960,527.877010406812,6,1,1,1,NaN,115.92698097229
19-09-2026,2810.26315689087,960,529.698049867244,6,1,1,1,NaN,125.224113464355
19-09-2026,2817.69418716431,960,531.519089327677,6,1,1,1,NaN,132.655143737793
19-09-2026,2826.73120498657,960,531.519089327677,6,1,1,1,NaN,141.692161560059
19-09-2026,2834.29908752441,960,535.182592242195,6,1,1,1,NaN,149.2600440979
19-09-2026,2843.52517127991,960,538.82467116306,6,1,1,1,NaN,158.486127853394
19-09-2026,2851.01103782654,960,540.645710623493,6,1,1,1,NaN,165.971994400024
19-09-2026,2860.19420623779,960,544.287789544359,6,1,1,1,NaN,175.155162811279
