Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,TotalTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
19-09-2026,1,1,LongGroup,6.00,0.3342,0.5170,0.8513,1,0,Right_0,Right_0,Right_0,3,0,None,1,2,alternate
19-09-2026,1,2,LongGroup,7.00,0.1512,0.1997,0.3509,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,2,alternate
19-09-2026,1,3,LongGroup,6.70,0.3177,0.1170,0.4347,1,0,Left_180,Left_180,Left_180,3,1,Left_180,1,2,alternate
19-09-2026,1,4,ShortGroup,5.10,0.3345,0.1498,0.4843,1,0,Up_90,Up_90,Up_90,1,1,Left_180,1,2,alternate
19-09-2026,1,5,ShortGroup,5.00,0.2678,0.1503,0.4181,1,0,Left_180,Left_180,Left_180,1,1,Up_90,1,2,alternate
19-09-2026,1,6,LongGroup,7.60,0.3008,0.0834,0.3842,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,2,alternate
19-09-2026,1,7,LongGroup,7.60,0.3009,0.1167,0.4176,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,2,alternate
19-09-2026,1,8,ShortGroup,4.00,0.3676,0.0667,0.4342,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,2,alternate
19-09-2026,1,9,ShortGroup,4.70,0.2842,0.1500,0.4343,1,0,Down_270,Down_270,Down_270,1,1,Right_0,1,2,alternate
19-09-2026,1,10,LongGroup,6.00,0.3509,0.7000,1.0509,1,0,Left_180,Left_180,Left_180,3,1,Down_270,1,2,alternate
19-09-2026,1,11,ShortGroup,5.70,0.3341,0.8835,1.2176,0,2,Up_90,Down_270,Down_270,3,1,Left_180,1,2,alternate
19-09-2026,1,12,ShortGroup,5.00,0.2676,0.7167,0.9842,1,0,Up_90,Up_90,Up_90,1,0,Up_90,1,2,alternate
19-09-2026,1,13,ShortGroup,4.70,0.3175,0.0667,0.3843,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1,2,alternate
19-09-2026,1,14,LongGroup,6.10,0.3343,0.4833,0.8176,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,2,alternate
19-09-2026,1,15,ShortGroup,5.10,0.3674,0.0501,0.4175,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,2,alternate
19-09-2026,1,16,LongGroup,6.10,0.2675,0.0833,0.3508,1,0,Right_0,Right_0,Right_0,3,1,Right_0,1,2,alternate
19-09-2026,1,17,ShortGroup,4.10,0.3342,0.1000,0.4342,1,0,Right_0,Right_0,Right_0,1,1,Right_0,1,2,alternate
19-09-2026,1,18,ShortGroup,4.70,0.2509,0.1000,0.3509,1,0,Left_180,Left_180,Left_180,1,1,Right_0,1,2,alternate
19-09-2026,1,19,LongGroup,6.70,0.2851,0.0658,0.3509,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,2,alternate
19-09-2026,1,20,ShortGroup,5.00,0.3507,0.0501,0.4008,1,0,Right_0,Right_0,Right_0,1,1,Right_0,1,2,alternate
19-09-2026,1,21,LongGroup,7.80,0.3175,0.9334,1.2509,0,2,Down_270,Right_0,Right_0,1,1,Right_0,1,2,alternate
19-09-2026,1,22,ShortGroup,5.10,0.1842,0.3168,0.5009,0,2,Left_180,Down_270,Down_270,3,0,Down_270,1,2,alternate
19-09-2026,1,23,ShortGroup,4.10,0.2508,0.0668,0.3176,1,0,Left_180,Left_180,Left_180,1,0,Left_180,1,2,alternate
19-09-2026,1,24,LongGroup,7.80,0.2508,0.1335,0.3842,1,0,Left_180,Left_180,Left_180,3,1,Left_180,1,2,alternate
19-09-2026,1,25,ShortGroup,4.00,0.3176,0.0834,0.4009,0,2,Left_180,Up_90,Up_90,3,1,Left_180,1,2,alternate
19-09-2026,1,26,LongGroup,7.00,0.2842,0.0833,0.3675,1,0,Right_0,Right_0,Right_0,3,0,Left_180,1,2,alternate
19-09-2026,1,27,ShortGroup,5.00,0.3842,0.8500,1.2342,1,0,Down_270,Down_270,Down_270,1,1,Right_0,1,2,alternate
19-09-2026,1,28,LongGroup,7.00,0.2176,0.0834,0.3010,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,2,alternate
19-09-2026,1,29,LongGroup,7.60,0.3509,0.1334,0.4843,1,0,Up_90,Up_90,Up_90,3,1,Down_270,1,2,alternate
19-09-2026,1,30,ShortGroup,4.10,0.2675,0.1167,0.3842,1,0,Down_270,Down_270,Down_270,1,1,Up_90,1,2,alternate
19-09-2026,1,31,ShortGroup,5.70,0.2675,0.5834,0.8509,0,2,Up_90,Left_180,Left_180,3,1,Down_270,1,2,alternate
19-09-2026,1,32,LongGroup,7.80,0.3010,0.1666,0.4676,1,0,Up_90,Up_90,Up_90,3,0,Up_90,1,2,alternate
19-09-2026,1,33,LongGroup,6.00,0.3176,1.3500,1.6675,1,0,Down_270,Down_270,Down_270,3,1,Up_90,1,2,alternate
19-09-2026,1,34,LongGroup,7.80,0.2342,0.1001,0.3343,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,2,alternate
19-09-2026,1,35,LongGroup,6.70,0.3508,0.5835,0.9343,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,2,alternate
19-09-2026,1,36,LongGroup,7.60,0.2342,0.0834,0.3176,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,2,alternate
19-09-2026,1,37,ShortGroup,4.00,0.2842,0.1334,0.4176,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,2,alternate
19-09-2026,1,38,ShortGroup,4.00,0.2842,0.1002,0.3844,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1,2,alternate
19-09-2026,1,39,LongGroup,6.00,0.3676,0.3667,0.7343,1,0,Up_90,Up_90,Up_90,3,1,Down_270,1,2,alternate
19-09-2026,1,40,ShortGroup,5.70,0.3175,1.1167,1.4342,1,0,Up_90,Up_90,Up_90,1,1,Up_90,1,2,alternate
19-09-2026,1,41,ShortGroup,5.70,0.3341,0.4501,0.7843,0,2,Up_90,Right_0,Right_0,3,1,Up_90,1,2,alternate
19-09-2026,1,42,LongGroup,6.10,0.4342,0.6000,1.0342,0,2,Right_0,Up_90,Up_90,1,0,Up_90,1,2,alternate
19-09-2026,1,43,ShortGroup,4.70,0.3676,0.2834,0.6509,1,0,Up_90,Up_90,Up_90,1,0,Right_0,1,2,alternate
19-09-2026,1,44,ShortGroup,5.10,0.3509,0.6999,1.0508,0,2,Right_0,Left_180,Left_180,3,1,Up_90,1,2,alternate
19-09-2026,1,45,LongGroup,6.10,0.4176,0.5167,0.9343,0,2,Up_90,Down_270,Down_270,1,0,Right_0,1,2,alternate
19-09-2026,1,46,ShortGroup,4.10,0.4009,0.2001,0.6009,1,0,Up_90,Up_90,Up_90,1,0,Up_90,1,2,alternate
19-09-2026,1,47,LongGroup,7.00,0.3342,0.1668,0.5009,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
19-09-2026,1,48,LongGroup,6.70,0.3342,0.3333,0.6674,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
19-09-2026,2,1,LongGroup,7.60,0.3009,0.0668,0.3676,1,0,Right_0,Right_0,Right_0,3,1,Up_90,1,3,alternate
19-09-2026,2,2,LongGroup,7.00,0.3180,0.2829,0.6009,1,0,Up_90,Up_90,Up_90,3,1,Right_0,1,3,alternate
19-09-2026,2,3,LongGroup,7.80,0.3009,0.1334,0.4343,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1,3,alternate
19-09-2026,2,4,ShortGroup,4.10,0.3009,0.1167,0.4176,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1,3,alternate
19-09-2026,2,5,ShortGroup,4.00,0.2675,0.0834,0.3509,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,3,alternate
19-09-2026,2,6,ShortGroup,4.70,0.3341,0.4001,0.7342,0,2,Right_0,Down_270,Down_270,3,1,Left_180,1,3,alternate
19-09-2026,2,7,MidGroup,6.00,0.3008,0.2834,0.5842,1,0,Up_90,Up_90,Up_90,2,0,Right_0,1,3,alternate
19-09-2026,2,8,MidGroup,6.00,0.3009,0.4000,0.7009,1,0,Down_270,Down_270,Down_270,2,1,Up_90,1,3,alternate
19-09-2026,2,9,ShortGroup,4.00,0.3008,0.1002,0.4010,1,0,Down_270,Down_270,Down_270,1,1,Down_270,1,3,alternate
19-09-2026,2,10,MidGroup,6.00,0.3842,0.2000,0.5843,1,0,Right_0,Right_0,Right_0,2,1,Down_270,1,3,alternate
19-09-2026,2,11,LongGroup,7.80,0.2676,0.2667,0.5342,1,0,Down_270,Down_270,Down_270,3,1,Right_0,1,3,alternate
19-09-2026,2,12,ShortGroup,5.00,0.2842,0.1333,0.4175,1,0,Down_270,Down_270,Down_270,1,1,Down_270,1,3,alternate
19-09-2026,2,13,MidGroup,5.70,0.3509,0.2834,0.6343,1,0,Left_180,Left_180,Left_180,2,1,Down_270,1,3,alternate
19-09-2026,2,14,ShortGroup,4.10,0.4008,0.0501,0.4509,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,3,alternate
19-09-2026,2,15,MidGroup,5.10,0.2675,0.5167,0.7842,1,0,Down_270,Down_270,Down_270,2,1,Right_0,1,3,alternate
19-09-2026,2,16,ShortGroup,4.10,0.3009,0.0833,0.3843,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,3,alternate
19-09-2026,2,17,ShortGroup,5.00,0.3509,1.2333,1.5842,1,0,Up_90,Up_90,Up_90,1,1,Left_180,1,3,alternate
19-09-2026,2,18,MidGroup,5.70,0.3343,0.0999,0.4342,1,0,Right_0,Right_0,Right_0,2,1,Up_90,1,3,alternate
19-09-2026,2,19,LongGroup,6.70,0.2674,0.1168,0.3842,1,0,Down_270,Down_270,Down_270,3,1,Right_0,1,3,alternate
19-09-2026,2,20,LongGroup,7.00,0.2514,0.1995,0.4509,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,3,alternate
19-09-2026,2,21,MidGroup,5.10,0.2676,0.1334,0.4010,0,2,Left_180,Right_0,Right_0,1,1,Down_270,1,3,alternate
19-09-2026,2,22,LongGroup,7.60,0.3009,0.3667,0.6676,1,0,Up_90,Up_90,Up_90,3,0,Left_180,1,3,alternate
19-09-2026,2,23,LongGroup,7.60,0.2508,0.0834,0.3343,1,0,Down_270,Down_270,Down_270,3,1,Up_90,1,3,alternate
19-09-2026,2,24,MidGroup,5.10,0.3842,0.1000,0.4842,0,2,Right_0,Up_90,Up_90,1,1,Down_270,1,3,alternate
19-09-2026,2,25,MidGroup,5.70,0.2843,0.6332,0.9175,1,0,Up_90,Up_90,Up_90,2,0,Right_0,1,3,alternate
19-09-2026,2,26,LongGroup,7.60,0.3176,0.0833,0.4009,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1,3,alternate
19-09-2026,2,27,ShortGroup,4.70,0.2843,0.0500,0.3343,1,0,Left_180,Left_180,Left_180,1,1,Left_180,1,3,alternate
19-09-2026,2,28,LongGroup,6.70,0.3676,0.0666,0.4342,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,3,alternate
19-09-2026,2,29,LongGroup,6.70,0.2844,0.0997,0.3842,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,3,alternate
19-09-2026,2,30,ShortGroup,5.00,0.4175,0.0834,0.5008,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,3,alternate
19-09-2026,2,31,MidGroup,5.70,0.2676,0.8500,1.1176,1,0,Down_270,Down_270,Down_270,2,1,Right_0,1,3,alternate
19-09-2026,2,32,MidGroup,6.10,0.2342,0.8334,1.0676,1,0,Left_180,Left_180,Left_180,2,1,Down_270,1,3,alternate
19-09-2026,2,33,ShortGroup,4.00,0.3507,0.0667,0.4175,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,3,alternate
19-09-2026,2,34,ShortGroup,5.00,0.3176,0.0833,0.4009,1,0,Left_180,Left_180,Left_180,1,1,Right_0,1,3,alternate
19-09-2026,2,35,LongGroup,7.80,0.2842,0.0501,0.3343,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,3,alternate
19-09-2026,2,36,MidGroup,6.10,0.3342,0.2334,0.5676,1,0,Up_90,Up_90,Up_90,2,1,Right_0,1,3,alternate
19-09-2026,2,37,MidGroup,6.10,0.3176,0.5334,0.8509,1,0,Right_0,Right_0,Right_0,2,1,Up_90,1,3,alternate
19-09-2026,2,38,ShortGroup,4.70,0.5008,1.3500,1.8509,0,2,Left_180,Right_0,Right_0,2,1,Right_0,1,3,alternate
19-09-2026,2,39,LongGroup,7.80,0.3841,0.3668,0.7509,1,0,Up_90,Up_90,Up_90,3,0,Left_180,1,3,alternate
