Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,MoveTime_ms
02-09-2026,2585.10208129883,960,531.519089327677,6,1,1,1,0
02-09-2026,2595.37601470947,960,531.519089327677,6,1,1,1,10.2739334106445
02-09-2026,2601.19199752808,960,531.519089327677,6,1,1,1,16.089916229248
02-09-2026,2610.99004745483,960,531.519089327677,6,1,1,1,25.8879661560059
02-09-2026,2617.81311035156,960,531.519089327677,6,1,1,1,32.7110290527344
02-09-2026,2627.11596488953,960,531.519089327677,6,1,1,1,42.0138835906982
02-09-2026,2634.03511047363,960,531.519089327677,6,1,1,1,48.9330291748047
02-09-2026,2643.3801651001,960,531.519089327677,6,1,1,1,58.2780838012695
02-09-2026,2650.72107315063,960,531.519089327677,6,1,1,1,65.6189918518066
02-09-2026,2660.07995605469,960,531.519089327677,6,1,1,1,74.9778747558594
02-09-2026,2667.28806495667,960,531.519089327677,6,1,1,1,82.1859836578369
02-09-2026,2676.55801773071,960,531.519089327677,6,1,1,1,91.4559364318848
02-09-2026,2683.70604515076,960,531.519089327677,6,1,1,1,98.6039638519287
02-09-2026,2692.86608695984,960,531.519089327677,6,1,1,1,107.764005661011
02-09-2026,2700.35815238953,960,531.519089327677,6,1,1,1,115.256071090698
02-09-2026,2709.5410823822,960,531.519089327677,6,1,1,1,124.439001083374
02-09-2026,2717.01407432556,960,531.519089327677,6,1,1,1,131.911993026733
02-09-2026,2726.1791229248,960,531.519089327677,6,1,1,1,141.077041625977
02-09-2026,2733.67500305176,960,531.519089327677,6,1,1,1,148.57292175293
02-09-2026,2742.82813072205,960,531.519089327677,6,1,1,1,157.726049423218
02-09-2026,2750.34213066101,960,531.519089327677,6,1,1,1,165.240049362183
02-09-2026,2759.66310501099,960,531.519089327677,6,1,1,1,174.561023712158
02-09-2026,2767.01498031616,960,531.519089327677,6,1,1,1,181.912899017334
02-09-2026,2776.29208564758,960,531.519089327677,6,1,1,1,191.190004348755
02-09-2026,2783.57696533203,960,531.519089327677,6,1,1,1,198.474884033203
02-09-2026,2792.90199279785,960,531.519089327677,6,1,1,1,207.799911499023
02-09-2026,2800.38499832153,960,531.519089327677,6,1,1,1,215.282917022705
02-09-2026,2809.38816070557,960,531.519089327677,6,1,1,1,224.286079406738
02-09-2026,2816.9059753418,960,531.519089327677,6,1,1,1,231.803894042969
02-09-2026,2826.05004310608,960,533.361552781762,6,1,1,1,240.947961807251
02-09-2026,2833.68802070618,960,535.182592242195,6,1,1,1,248.585939407349
02-09-2026,2842.89693832397,960,537.003631702628,6,1,1,1,257.794857025146
02-09-2026,2850.37112236023,943.812982573931,538.82467116306,6,1,1,1,265.269041061401
02-09-2026,2859.71999168396,924.350474562822,538.82467116306,6,1,1,1,274.617910385132
02-09-2026,2867.04516410828,904.92605365154,540.645710623493,6,1,1,1,281.943082809448
02-09-2026,2876.36399269104,878.988738670003,540.645710623493,6,1,1,1,291.261911392212
02-09-2026,2883.70108604431,856.288827173681,540.645710623493,7,1,1,1,298.599004745483
02-09-2026,2893.04304122925,836.826319162572,540.645710623493,7,1,1,1,307.94095993042
02-09-2026,2901.39508247375,830.351512192145,540.645710623493,7,1,1,1,316.293001174927
02-09-2026,2910.74013710022,810.889004181036,538.82467116306,7,1,1,1,325.638055801392
02-09-2026,2917.59204864502,807.651600695822,538.82467116306,7,1,1,1,332.489967346191
02-09-2026,2926.90515518188,801.176793725394,538.82467116306,7,1,1,1,341.803073883057
02-09-2026,2933.9280128479,797.939390240181,538.82467116306,7,1,1,1,348.825931549072
02-09-2026,2943.18294525146,794.701986754967,537.003631702628,7,1,1,1,358.080863952637
02-09-2026,2950.58298110962,788.227179784539,535.182592242195,7,1,1,1,365.480899810791
02-09-2026,2959.92398262024,775.239478743858,533.361552781762,7,1,1,1,374.821901321411
02-09-2026,2967.24796295166,775.239478743858,533.361552781762,7,1,1,1,382.145881652832
02-09-2026,2976.64904594421,762.289864803003,531.519089327677,7,1,1,1,391.546964645386
02-09-2026,2983.97898674011,755.776970732749,531.519089327677,7,1,1,1,398.876905441284
02-09-2026,2993.09802055359,749.302163762322,531.519089327677,7,1,1,1,407.995939254761
02-09-2026,3000.6411075592,749.302163762322,531.519089327677,7,1,1,1,415.539026260376
02-09-2026,3009.88912582397,749.302163762322,531.519089327677,7,1,1,1,424.787044525146
02-09-2026,3017.27914810181,749.302163762322,531.519089327677,7,1,1,1,432.177066802979
02-09-2026,3026.56102180481,749.302163762322,531.519089327677,7,1,1,1,441.458940505981
02-09-2026,3033.92004966736,749.302163762322,531.519089327677,7,1,1,1,448.81796836853
02-09-2026,3043.0691242218,749.302163762322,531.519089327677,7,1,1,1,457.967042922974
02-09-2026,3050.48298835754,749.302163762322,531.519089327677,7,1,1,1,465.380907058716
02-09-2026,3059.88502502441,749.302163762322,531.519089327677,7,1,1,1,474.782943725586
02-09-2026,3067.25406646729,749.302163762322,531.519089327677,7,1,1,1,482.151985168457
02-09-2026,3076.57194137573,749.302163762322,531.519089327677,7,1,1,1,491.469860076904
02-09-2026,3083.82415771484,749.302163762322,531.519089327677,7,1,1,1,498.722076416016
