BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,7,7,100.0000,0.3580
1,4.0000,ShortGroup,Up_90,7,7,100.0000,0.3700
1,4.0000,ShortGroup,Left_180,7,7,100.0000,0.2937
1,4.0000,ShortGroup,Down_270,7,7,100.0000,0.3008
2,4.1000,ShortGroup,Right_0,7,8,87.5000,0.3437
2,4.1000,ShortGroup,Up_90,7,7,100.0000,0.3961
2,4.1000,ShortGroup,Left_180,7,7,100.0000,0.2865
2,4.1000,ShortGroup,Down_270,7,7,100.0000,0.2889
3,4.7000,ShortGroup,Right_0,4,7,57.1429,0.3550
3,4.7000,ShortGroup,Up_90,3,6,50.0000,0.3952
3,4.7000,ShortGroup,Left_180,3,7,42.8571,0.2620
3,4.7000,ShortGroup,Down_270,2,7,28.5714,0.3007
4,5.0000,ShortGroup,Right_0,6,7,85.7143,0.3704
4,5.0000,ShortGroup,Up_90,0,7,0.0000,NaN
4,5.0000,ShortGroup,Left_180,1,5,20.0000,0.3174
4,5.0000,ShortGroup,Down_270,1,6,16.6667,0.3175
5,5.1000,MidGroup,Right_0,3,5,60.0000,0.3397
5,5.1000,MidGroup,Up_90,5,8,62.5000,0.4008
5,5.1000,MidGroup,Left_180,6,6,100.0000,0.3175
5,5.1000,MidGroup,Down_270,7,7,100.0000,0.2985
6,5.7000,MidGroup,Right_0,5,6,83.3333,0.3742
6,5.7000,MidGroup,Up_90,4,6,66.6667,0.3467
6,5.7000,MidGroup,Left_180,5,7,71.4286,0.3142
6,5.7000,MidGroup,Down_270,7,8,87.5000,0.2819
7,6.0000,MidGroup,Right_0,5,7,71.4286,0.3276
7,6.0000,MidGroup,Up_90,7,7,100.0000,0.3794
7,6.0000,MidGroup,Left_180,5,7,71.4286,0.3042
7,6.0000,MidGroup,Down_270,6,7,85.7143,0.3203
8,6.1000,MidGroup,Right_0,6,7,85.7143,0.3342
8,6.1000,MidGroup,Up_90,3,7,42.8571,0.3842
8,6.1000,MidGroup,Left_180,5,7,71.4286,0.2842
8,6.1000,MidGroup,Down_270,3,7,42.8571,0.3231
9,6.7000,LongGroup,Right_0,6,7,85.7143,0.3147
9,6.7000,LongGroup,Up_90,5,7,71.4286,0.3942
9,6.7000,LongGroup,Left_180,7,7,100.0000,0.2890
9,6.7000,LongGroup,Down_270,5,6,83.3333,0.2843
10,7.0000,LongGroup,Right_0,7,7,100.0000,0.3413
10,7.0000,LongGroup,Up_90,6,7,85.7143,0.3980
10,7.0000,LongGroup,Left_180,7,7,100.0000,0.3271
10,7.0000,LongGroup,Down_270,5,7,71.4286,0.2675
11,7.6000,LongGroup,Right_0,7,7,100.0000,0.2985
11,7.6000,LongGroup,Up_90,7,7,100.0000,0.3866
11,7.6000,LongGroup,Left_180,7,7,100.0000,0.3009
11,7.6000,LongGroup,Down_270,7,7,100.0000,0.2532
12,7.8000,LongGroup,Right_0,6,7,85.7143,0.3592
12,7.8000,LongGroup,Up_90,5,7,71.4286,0.3910
12,7.8000,LongGroup,Left_180,7,7,100.0000,0.3127
12,7.8000,LongGroup,Down_270,6,7,85.7143,0.2591
