Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,TotalTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt
24-08-2026,1,1,MidGroup,5.10,0.1176,0.4166,0.5342,0,2,Up_90,Right_0,Right_0,1,0,None,1
24-08-2026,1,2,LongGroup,7.00,0.3012,0.0352,0.3364,1,0,Left_180,Left_180,Left_180,3,0,Up_90,1
24-08-2026,1,3,MidGroup,5.70,0.1843,0.2670,0.4513,1,0,Down_270,Down_270,Down_270,2,1,Left_180,1
24-08-2026,1,4,MidGroup,5.70,0.2508,0.1668,0.4176,1,0,Left_180,Left_180,Left_180,2,1,Down_270,1
24-08-2026,1,5,ShortGroup,4.10,0.2675,0.0667,0.3342,1,0,Left_180,Left_180,Left_180,1,1,Left_180,1
24-08-2026,1,6,LongGroup,7.00,0.4842,1.6000,2.0842,0,2,Right_0,Up_90,Up_90,2,1,Left_180,1
24-08-2026,1,7,LongGroup,6.70,0.4010,0.4667,0.8677,0,2,Right_0,Up_90,Up_90,2,0,Right_0,1
24-08-2026,1,8,ShortGroup,5.00,0.3681,0.0831,0.4512,1,0,Right_0,Right_0,Right_0,1,0,Right_0,1
24-08-2026,1,9,MidGroup,5.10,0.3175,0.1004,0.4179,1,0,Down_270,Down_270,Down_270,2,1,Right_0,1
24-08-2026,1,10,MidGroup,6.10,0.4343,0.1834,0.6177,0,2,Right_0,Down_270,Down_270,3,1,Down_270,1
24-08-2026,1,11,LongGroup,7.00,0.4010,0.1167,0.5177,0,2,Left_180,Down_270,Down_270,2,0,Right_0,1
24-08-2026,1,12,ShortGroup,5.00,0.4342,0.4334,0.8676,0,2,Right_0,Down_270,Down_270,3,0,Left_180,1
24-08-2026,1,13,ShortGroup,4.10,0.2842,0.1000,0.3842,1,0,Down_270,Down_270,Down_270,1,0,Right_0,1
24-08-2026,1,14,LongGroup,6.70,0.3843,0.2333,0.6175,0,2,Up_90,Right_0,Right_0,2,1,Down_270,1
24-08-2026,1,15,LongGroup,7.80,0.1508,0.1667,0.3175,1,0,Down_270,Down_270,Down_270,3,0,Up_90,1
24-08-2026,1,16,LongGroup,6.70,0.2681,0.2831,0.5511,0,2,Up_90,Down_270,Down_270,2,1,Down_270,1
24-08-2026,1,17,ShortGroup,4.10,0.4010,0.1168,0.5177,1,0,Right_0,Right_0,Right_0,1,0,Up_90,1
24-08-2026,1,18,ShortGroup,4.10,0.3675,0.0838,0.4513,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1
24-08-2026,1,19,LongGroup,7.00,0.2841,0.1001,0.3842,1,0,Right_0,Right_0,Right_0,3,1,Up_90,1
24-08-2026,1,20,LongGroup,7.60,0.2175,0.0834,0.3009,1,0,Down_270,Down_270,Down_270,3,1,Right_0,1
24-08-2026,1,21,MidGroup,6.00,0.2511,0.3669,0.6180,1,0,Up_90,Up_90,Up_90,2,1,Down_270,1
24-08-2026,1,22,MidGroup,6.00,0.2842,0.0669,0.3511,0,2,Right_0,Left_180,Left_180,3,1,Up_90,1
24-08-2026,1,23,ShortGroup,4.70,0.2510,0.0336,0.2846,1,0,Left_180,Left_180,Left_180,1,0,Right_0,1
