Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,TotalTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
18-09-2026,1,1,ShortGroup,5.00,0.3342,0.1171,0.4514,1,0,Up_90,Up_90,Up_90,1,0,None,1,2,alternate
18-09-2026,1,2,LongGroup,7.00,0.1342,0.3004,0.4346,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
18-09-2026,1,3,LongGroup,7.60,0.1345,0.3163,0.4508,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
18-09-2026,1,4,ShortGroup,4.70,0.2510,0.0664,0.3175,1,0,Left_180,Left_180,Left_180,1,1,Up_90,1,2,alternate
18-09-2026,1,5,ShortGroup,5.00,0.2844,0.0999,0.3842,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1,2,alternate
18-09-2026,1,6,ShortGroup,5.70,0.4008,0.3002,0.7010,0,2,Left_180,Down_270,Down_270,3,1,Down_270,1,2,alternate
18-09-2026,1,7,LongGroup,7.80,0.2842,0.0501,0.3343,1,0,Left_180,Left_180,Left_180,3,0,Left_180,1,2,alternate
18-09-2026,1,8,LongGroup,6.10,0.3342,1.3834,1.7175,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,2,alternate
18-09-2026,1,9,ShortGroup,4.00,0.3842,0.1501,0.5343,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1,2,alternate
18-09-2026,1,10,ShortGroup,5.10,0.2509,0.0167,0.2676,1,0,Left_180,Left_180,Left_180,1,1,Up_90,1,2,alternate
18-09-2026,1,11,LongGroup,6.00,0.2509,0.3835,0.6344,1,0,Up_90,Up_90,Up_90,3,1,Left_180,1,2,alternate
18-09-2026,1,12,ShortGroup,4.70,0.3509,0.0666,0.4175,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1,2,alternate
18-09-2026,1,13,ShortGroup,4.70,0.4009,0.3000,0.7009,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1,2,alternate
18-09-2026,1,14,LongGroup,6.70,0.3509,0.2001,0.5509,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
18-09-2026,1,15,LongGroup,7.80,0.2841,0.0668,0.3509,1,0,Down_270,Down_270,Down_270,3,1,Up_90,1,2,alternate
18-09-2026,1,16,LongGroup,7.60,0.3009,0.1667,0.4675,1,0,Left_180,Left_180,Left_180,3,1,Down_270,1,2,alternate
