BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,7,7,100.0000,0.4414
1,4.0000,ShortGroup,Up_90,7,7,100.0000,0.4294
1,4.0000,ShortGroup,Left_180,6,6,100.0000,0.3508
1,4.0000,ShortGroup,Down_270,7,7,100.0000,0.3984
2,4.1000,ShortGroup,Right_0,5,6,83.3333,0.4375
2,4.1000,ShortGroup,Up_90,6,6,100.0000,0.4314
2,4.1000,ShortGroup,Left_180,7,7,100.0000,0.3461
2,4.1000,ShortGroup,Down_270,6,6,100.0000,0.3536
3,4.7000,ShortGroup,Right_0,4,6,66.6667,0.4633
3,4.7000,ShortGroup,Up_90,5,7,71.4286,0.4310
3,4.7000,ShortGroup,Left_180,3,7,42.8571,0.3619
3,4.7000,ShortGroup,Down_270,5,7,71.4286,0.3508
4,5.0000,ShortGroup,Right_0,0,6,0.0000,NaN
4,5.0000,ShortGroup,Up_90,4,7,57.1429,0.3968
4,5.0000,ShortGroup,Left_180,2,6,33.3333,0.3175
4,5.0000,ShortGroup,Down_270,2,7,28.5714,0.3674
5,5.1000,MidGroup,Right_0,6,7,85.7143,0.3759
5,5.1000,MidGroup,Up_90,4,7,57.1429,0.3883
5,5.1000,MidGroup,Left_180,5,7,71.4286,0.3841
5,5.1000,MidGroup,Down_270,2,6,33.3333,0.3841
6,5.7000,MidGroup,Right_0,6,7,85.7143,0.4231
6,5.7000,MidGroup,Up_90,6,7,85.7143,0.4231
6,5.7000,MidGroup,Left_180,6,7,85.7143,0.3481
6,5.7000,MidGroup,Down_270,5,6,83.3333,0.3475
7,6.0000,MidGroup,Right_0,7,7,100.0000,0.4294
7,6.0000,MidGroup,Up_90,6,6,100.0000,0.3870
7,6.0000,MidGroup,Left_180,6,7,85.7143,0.3287
7,6.0000,MidGroup,Down_270,6,7,85.7143,0.3342
8,6.1000,MidGroup,Right_0,3,7,42.8571,0.3675
8,6.1000,MidGroup,Up_90,3,6,50.0000,0.3953
8,6.1000,MidGroup,Left_180,6,7,85.7143,0.3480
8,6.1000,MidGroup,Down_270,4,6,66.6667,0.3592
9,6.7000,LongGroup,Right_0,6,6,100.0000,0.3369
9,6.7000,LongGroup,Up_90,7,7,100.0000,0.3699
9,6.7000,LongGroup,Left_180,6,6,100.0000,0.3091
9,6.7000,LongGroup,Down_270,5,7,71.4286,0.3042
10,7.0000,LongGroup,Right_0,7,7,100.0000,0.3603
10,7.0000,LongGroup,Up_90,6,7,85.7143,0.4314
10,7.0000,LongGroup,Left_180,5,6,83.3333,0.3208
10,7.0000,LongGroup,Down_270,5,7,71.4286,0.3008
11,7.6000,LongGroup,Right_0,7,7,100.0000,0.3485
11,7.6000,LongGroup,Up_90,6,6,100.0000,0.4036
11,7.6000,LongGroup,Left_180,7,7,100.0000,0.3056
11,7.6000,LongGroup,Down_270,6,6,100.0000,0.2786
12,7.8000,LongGroup,Right_0,7,7,100.0000,0.3318
12,7.8000,LongGroup,Up_90,7,7,100.0000,0.4199
12,7.8000,LongGroup,Left_180,7,7,100.0000,0.3151
12,7.8000,LongGroup,Down_270,6,6,100.0000,0.2786
