BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,7,7,100.0000,0.4032
1,4.0000,ShortGroup,Up_90,6,7,85.7143,0.3814
1,4.0000,ShortGroup,Left_180,7,7,100.0000,0.2867
1,4.0000,ShortGroup,Down_270,6,7,85.7143,0.2870
2,4.1000,ShortGroup,Right_0,7,7,100.0000,0.3580
2,4.1000,ShortGroup,Up_90,6,6,100.0000,0.3814
2,4.1000,ShortGroup,Left_180,7,7,100.0000,0.3509
2,4.1000,ShortGroup,Down_270,7,7,100.0000,0.3151
3,4.7000,ShortGroup,Right_0,2,7,28.5714,0.4425
3,4.7000,ShortGroup,Up_90,2,7,28.5714,0.4008
3,4.7000,ShortGroup,Left_180,4,7,57.1429,0.3134
3,4.7000,ShortGroup,Down_270,2,6,33.3333,0.3175
4,5.0000,ShortGroup,Right_0,0,7,0.0000,NaN
4,5.0000,ShortGroup,Up_90,0,7,0.0000,NaN
4,5.0000,ShortGroup,Left_180,0,6,0.0000,NaN
4,5.0000,ShortGroup,Down_270,1,7,14.2857,0.2842
5,5.1000,MidGroup,Right_0,6,7,85.7143,0.3870
5,5.1000,MidGroup,Up_90,7,7,100.0000,0.3485
5,5.1000,MidGroup,Left_180,4,6,66.6667,0.3217
5,5.1000,MidGroup,Down_270,7,7,100.0000,0.3556
6,5.7000,MidGroup,Right_0,6,7,85.7143,0.3814
6,5.7000,MidGroup,Up_90,4,7,57.1429,0.3634
6,5.7000,MidGroup,Left_180,6,6,100.0000,0.2953
6,5.7000,MidGroup,Down_270,4,7,57.1429,0.3508
7,6.0000,MidGroup,Right_0,6,7,85.7143,0.4675
7,6.0000,MidGroup,Up_90,5,6,83.3333,0.4110
7,6.0000,MidGroup,Left_180,4,6,66.6667,0.3008
7,6.0000,MidGroup,Down_270,5,7,71.4286,0.2975
8,6.1000,MidGroup,Right_0,6,7,85.7143,0.3981
8,6.1000,MidGroup,Up_90,6,8,75.0000,0.3703
8,6.1000,MidGroup,Left_180,4,7,57.1429,0.3383
8,6.1000,MidGroup,Down_270,4,7,57.1429,0.2967
9,6.7000,LongGroup,Right_0,6,7,85.7143,0.3758
9,6.7000,LongGroup,Up_90,3,6,50.0000,0.3342
9,6.7000,LongGroup,Left_180,5,7,71.4286,0.2709
9,6.7000,LongGroup,Down_270,7,7,100.0000,0.3104
10,7.0000,LongGroup,Right_0,6,6,100.0000,0.3203
10,7.0000,LongGroup,Up_90,7,7,100.0000,0.3961
10,7.0000,LongGroup,Left_180,6,7,85.7143,0.3843
10,7.0000,LongGroup,Down_270,6,6,100.0000,0.3008
11,7.6000,LongGroup,Right_0,6,7,85.7143,0.3509
11,7.6000,LongGroup,Up_90,6,6,100.0000,0.3398
11,7.6000,LongGroup,Left_180,6,7,85.7143,0.2925
11,7.6000,LongGroup,Down_270,6,7,85.7143,0.2815
12,7.8000,LongGroup,Right_0,6,7,85.7143,0.3509
12,7.8000,LongGroup,Up_90,6,6,100.0000,0.3675
12,7.8000,LongGroup,Left_180,5,7,71.4286,0.2842
12,7.8000,LongGroup,Down_270,7,7,100.0000,0.2842
