BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct,MeanRT_s
1,4.0000,ShortGroup,Right_0,10,10,100.0000,0.4092
1,4.0000,ShortGroup,Up_90,10,10,100.0000,0.4692
1,4.0000,ShortGroup,Left_180,9,9,100.0000,0.3120
1,4.0000,ShortGroup,Down_270,8,9,88.8889,0.3550
2,4.1000,ShortGroup,Right_0,9,10,90.0000,0.3804
2,4.1000,ShortGroup,Up_90,7,9,77.7778,0.4794
2,4.1000,ShortGroup,Left_180,8,9,88.8889,0.3029
2,4.1000,ShortGroup,Down_270,9,10,90.0000,0.3564
3,4.7000,ShortGroup,Right_0,1,8,12.5000,0.3842
3,4.7000,ShortGroup,Up_90,0,9,0.0000,NaN
3,4.7000,ShortGroup,Left_180,1,7,14.2857,0.2842
3,4.7000,ShortGroup,Down_270,2,10,20.0000,0.3508
4,5.0000,ShortGroup,Right_0,0,8,0.0000,NaN
4,5.0000,ShortGroup,Up_90,0,9,0.0000,NaN
4,5.0000,ShortGroup,Left_180,0,10,0.0000,NaN
4,5.0000,ShortGroup,Down_270,0,9,0.0000,NaN
5,5.1000,MidGroup,Right_0,9,10,90.0000,0.3841
5,5.1000,MidGroup,Up_90,10,10,100.0000,0.3742
5,5.1000,MidGroup,Left_180,7,10,70.0000,0.3413
5,5.1000,MidGroup,Down_270,8,10,80.0000,0.3860
6,5.7000,MidGroup,Right_0,9,10,90.0000,0.3638
6,5.7000,MidGroup,Up_90,9,9,100.0000,0.3971
6,5.7000,MidGroup,Left_180,8,9,88.8889,0.3863
6,5.7000,MidGroup,Down_270,9,10,90.0000,0.3212
7,6.0000,MidGroup,Right_0,8,10,80.0000,0.3716
7,6.0000,MidGroup,Up_90,10,10,100.0000,0.3875
7,6.0000,MidGroup,Left_180,8,10,80.0000,0.3321
7,6.0000,MidGroup,Down_270,9,10,90.0000,0.3027
8,6.1000,MidGroup,Right_0,9,10,90.0000,0.3916
8,6.1000,MidGroup,Up_90,8,10,80.0000,0.3967
8,6.1000,MidGroup,Left_180,8,10,80.0000,0.3258
8,6.1000,MidGroup,Down_270,10,10,100.0000,0.3325
9,6.7000,LongGroup,Right_0,7,9,77.7778,0.3271
9,6.7000,LongGroup,Up_90,8,10,80.0000,0.4238
9,6.7000,LongGroup,Left_180,7,10,70.0000,0.3342
9,6.7000,LongGroup,Down_270,7,10,70.0000,0.2722
10,7.0000,LongGroup,Right_0,8,9,88.8889,0.3258
10,7.0000,LongGroup,Up_90,10,10,100.0000,0.4025
10,7.0000,LongGroup,Left_180,10,10,100.0000,0.3458
10,7.0000,LongGroup,Down_270,7,8,87.5000,0.2866
11,7.6000,LongGroup,Right_0,10,10,100.0000,0.3358
11,7.6000,LongGroup,Up_90,10,10,100.0000,0.4392
11,7.6000,LongGroup,Left_180,10,10,100.0000,0.3442
11,7.6000,LongGroup,Down_270,9,9,100.0000,0.2823
12,7.8000,LongGroup,Right_0,10,10,100.0000,0.3325
12,7.8000,LongGroup,Up_90,10,10,100.0000,0.4308
12,7.8000,LongGroup,Left_180,10,10,100.0000,0.3142
12,7.8000,LongGroup,Down_270,9,9,100.0000,0.2657
