Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt
01-09-2026,8.55612754821777,960,542.466750083926,1,1,1,1
01-09-2026,54.408073425293,960,542.466750083926,1,1,1,1
01-09-2026,66.8270587921143,960,542.466750083926,2,1,1,1
01-09-2026,77.8510570526123,960,542.466750083926,2,1,1,1
01-09-2026,87.1899127960205,960,542.466750083926,3,1,1,1
01-09-2026,109.795093536377,960,542.466750083926,3,1,1,1
01-09-2026,110.916137695312,960,542.466750083926,3,1,1,1
01-09-2026,120.326042175293,960,542.466750083926,3,1,1,1
01-09-2026,120.913028717041,960,542.466750083926,3,1,1,1
01-09-2026,130.255937576294,960,542.466750083926,3,1,1,1
01-09-2026,134.014129638672,960,542.466750083926,3,1,1,1
01-09-2026,143.404006958008,960,542.466750083926,3,1,1,1
01-09-2026,150.643110275269,960,542.466750083926,3,1,1,1
01-09-2026,160.126924514771,960,542.466750083926,3,1,1,1
01-09-2026,167.335987091064,960,542.466750083926,3,1,1,1
01-09-2026,177.446126937866,960,542.466750083926,3,1,1,1
01-09-2026,184.031009674072,960,542.466750083926,3,1,1,1
01-09-2026,193.671941757202,960,542.466750083926,3,1,1,1
01-09-2026,200.659990310669,960,542.466750083926,3,1,1,1
01-09-2026,210.148096084595,960,542.466750083926,3,1,1,1
01-09-2026,217.329025268555,960,542.466750083926,3,1,1,1
01-09-2026,226.800918579102,960,542.466750083926,3,1,1,1
01-09-2026,233.98494720459,960,542.466750083926,3,1,1,1
01-09-2026,243.546962738037,960,542.466750083926,3,1,1,1
01-09-2026,250.925064086914,960,542.466750083926,3,1,1,1
01-09-2026,259.987115859985,960,542.466750083926,3,1,1,1
01-09-2026,267.699956893921,960,542.466750083926,3,1,1,1
01-09-2026,276.780128479004,960,542.466750083926,3,1,1,1
01-09-2026,284.379959106445,960,542.466750083926,3,1,1,1
01-09-2026,293.437957763672,960,542.466750083926,3,1,1,1
01-09-2026,300.904035568237,960,542.466750083926,3,1,1,1
01-09-2026,310.01091003418,960,542.466750083926,3,1,1,1
01-09-2026,317.651987075806,960,542.466750083926,3,1,1,1
01-09-2026,326.730012893677,960,542.466750083926,3,1,1,1
01-09-2026,334.218978881836,960,542.466750083926,3,1,1,1
01-09-2026,343.280076980591,960,542.466750083926,3,1,1,1
01-09-2026,350.842952728271,960,542.466750083926,3,1,1,1
01-09-2026,359.899997711182,960,542.466750083926,3,1,1,1
01-09-2026,367.308139801025,960,542.466750083926,3,1,1,1
01-09-2026,376.358985900879,960,542.466750083926,3,1,1,1
01-09-2026,383.975028991699,960,542.466750083926,3,1,1,1
01-09-2026,393.046140670776,960,542.466750083926,3,1,1,1
01-09-2026,400.525093078613,960,542.466750083926,3,1,1,1
01-09-2026,409.488916397095,960,542.466750083926,3,1,1,1
01-09-2026,417.206048965454,960,542.466750083926,3,1,1,1
01-09-2026,426.252126693726,960,542.466750083926,3,1,1,1
01-09-2026,433.969974517822,960,542.466750083926,3,1,1,1
01-09-2026,443.004131317139,960,542.466750083926,3,1,1,1
01-09-2026,450.634002685547,960,542.466750083926,3,1,1,1
01-09-2026,459.667921066284,960,542.466750083926,3,1,1,1
01-09-2026,467.299938201904,960,542.466750083926,3,1,1,1
01-09-2026,476.330041885376,960,542.466750083926,3,1,1,1
01-09-2026,484.183073043823,960,542.466750083926,3,1,1,1
01-09-2026,493.545055389404,960,542.466750083926,3,1,1,1
01-09-2026,500.638008117676,960,542.466750083926,3,1,1,1
01-09-2026,509.793996810913,960,542.466750083926,3,1,1,1
01-09-2026,517.210006713867,960,542.466750083926,3,1,1,1
01-09-2026,526.260137557983,960,542.466750083926,3,1,1,1
01-09-2026,533.962965011597,960,542.466750083926,3,1,1,1
01-09-2026,543.091058731079,960,542.466750083926,3,1,1,1
01-09-2026,551.480054855347,960,542.466750083926,3,1,1,1
01-09-2026,560.513019561768,960,542.466750083926,3,1,1,1
01-09-2026,567.352056503296,960,542.466750083926,3,1,1,1
01-09-2026,576.566934585571,960,542.466750083926,3,1,1,1
01-09-2026,583.856105804443,960,542.466750083926,3,1,1,1
01-09-2026,592.916011810303,960,542.466750083926,3,1,1,1
01-09-2026,600.726127624512,960,542.466750083926,3,1,1,1
01-09-2026,609.939098358154,960,542.466750083926,3,1,1,1
01-09-2026,617.202997207642,960,542.466750083926,3,1,1,1
01-09-2026,626.214981079102,960,542.466750083926,3,1,1,1
01-09-2026,633.961915969849,960,542.466750083926,3,1,1,1
01-09-2026,643.054962158203,960,542.466750083926,3,1,1,1
01-09-2026,650.682926177979,960,542.466750083926,3,1,1,1
01-09-2026,659.711122512817,960,542.466750083926,3,1,1,1
01-09-2026,667.293071746826,960,542.466750083926,3,1,1,1
01-09-2026,676.311016082764,960,542.466750083926,3,1,1,1
01-09-2026,683.958053588867,960,542.466750083926,3,1,1,1
01-09-2026,693.140029907227,960,542.466750083926,3,1,1,1
01-09-2026,700.648069381714,960,542.466750083926,3,1,1,1
01-09-2026,709.685087203979,960,542.466750083926,3,1,1,1
01-09-2026,717.30899810791,960,542.466750083926,3,1,1,1
01-09-2026,726.414918899536,960,542.466750083926,3,1,1,1
01-09-2026,734.020948410034,960,542.466750083926,3,1,1,1
01-09-2026,743.188142776489,960,542.466750083926,3,1,1,1
01-09-2026,750.636100769043,960,542.466750083926,3,1,1,1
01-09-2026,759.700059890747,960,542.466750083926,3,1,1,1
01-09-2026,767.287015914917,960,542.466750083926,3,1,1,1
01-09-2026,776.339054107666,960,542.466750083926,3,1,1,1
01-09-2026,783.957004547119,960,542.466750083926,3,1,1,1
01-09-2026,793.131113052368,960,542.466750083926,3,1,1,1
01-09-2026,800.647974014282,960,542.466750083926,3,1,1,1
01-09-2026,809.70311164856,960,542.466750083926,3,1,1,1
01-09-2026,817.301988601685,960,542.466750083926,3,1,1,1
01-09-2026,826.318979263306,960,542.466750083926,3,1,1,1
01-09-2026,833.954095840454,960,542.466750083926,3,1,1,1
01-09-2026,842.999935150146,960,542.466750083926,3,1,1,1
01-09-2026,850.614070892334,960,542.466750083926,3,1,1,1
01-09-2026,859.662055969238,960,542.466750083926,3,1,1,1
01-09-2026,867.284059524536,960,542.466750083926,3,1,1,1
01-09-2026,876.357078552246,960,542.466750083926,3,1,1,1
01-09-2026,883.947134017944,960,542.466750083926,3,1,1,1
01-09-2026,893.012046813965,960,542.466750083926,3,1,1,1
01-09-2026,900.608062744141,960,542.466750083926,3,1,1,1
01-09-2026,909.706115722656,960,542.466750083926,3,1,1,1
01-09-2026,917.295932769775,960,542.466750083926,3,1,1,1
01-09-2026,926.348924636841,960,542.466750083926,3,1,1,1
01-09-2026,933.944940567017,960,542.466750083926,3,1,1,1
01-09-2026,942.999124526978,960,542.466750083926,3,1,1,1
01-09-2026,950.639009475708,960,542.466750083926,3,1,1,1
01-09-2026,959.784984588623,960,542.466750083926,3,1,1,1
01-09-2026,967.29302406311,960,542.466750083926,3,1,1,1
01-09-2026,976.455926895142,960,542.466750083926,3,1,1,1
01-09-2026,983.963012695312,960,542.466750083926,3,1,1,1
01-09-2026,993.070125579834,960,542.466750083926,3,1,1,1
01-09-2026,1000.49901008606,960,542.466750083926,3,1,1,1
01-09-2026,1009.78899002075,960,542.466750083926,3,1,1,1
01-09-2026,1017.3020362854,960,542.466750083926,3,1,1,1
01-09-2026,1026.44610404968,960,542.466750083926,3,1,1,1
01-09-2026,1033.83111953735,960,542.466750083926,3,1,1,1
01-09-2026,1042.98400878906,960,542.466750083926,3,1,1,1
01-09-2026,1050.61101913452,960,542.466750083926,3,1,1,1
01-09-2026,1059.8030090332,960,542.466750083926,3,1,1,1
01-09-2026,1067.28601455688,960,542.466750083926,3,1,1,1
01-09-2026,1076.47705078125,960,542.466750083926,3,1,1,1
01-09-2026,1083.93812179565,960,542.466750083926,3,1,1,1
01-09-2026,1093.10007095337,960,542.466750083926,3,1,1,1
01-09-2026,1101.60994529724,960,542.466750083926,3,1,1,1
01-09-2026,1110.78500747681,960,542.466750083926,3,1,1,1
01-09-2026,1117.49196052551,960,542.466750083926,3,1,1,1
01-09-2026,1126.72901153564,960,542.466750083926,3,1,1,1
01-09-2026,1134.02104377747,960,542.466750083926,3,1,1,1
01-09-2026,1143.21494102478,960,542.466750083926,3,1,1,1
01-09-2026,1150.6199836731,960,542.466750083926,3,1,1,1
01-09-2026,1159.7900390625,960,542.466750083926,3,1,1,1
01-09-2026,1167.28711128235,960,542.466750083926,3,1,1,1
01-09-2026,1176.30696296692,960,542.466750083926,3,1,1,1
01-09-2026,1183.94613265991,960,542.466750083926,3,1,1,1
01-09-2026,1193.1209564209,960,542.466750083926,3,1,1,1
01-09-2026,1200.62613487244,960,542.466750083926,3,1,1,1
01-09-2026,1209.60998535156,960,542.466750083926,3,1,1,1
01-09-2026,1217.30613708496,960,542.466750083926,3,1,1,1
01-09-2026,1226.3560295105,960,542.466750083926,3,1,1,1
01-09-2026,1233.95395278931,960,542.466750083926,3,1,1,1
01-09-2026,1243.01695823669,960,542.466750083926,3,1,1,1
01-09-2026,1250.60105323792,960,542.466750083926,3,1,1,1
01-09-2026,1259.82594490051,960,542.466750083926,3,1,1,1
01-09-2026,1267.2700881958,960,542.466750083926,3,1,1,1
01-09-2026,1276.50594711304,960,542.466750083926,3,1,1,1
01-09-2026,1283.94103050232,960,542.466750083926,3,1,1,1
01-09-2026,1293.10607910156,960,542.466750083926,3,1,1,1
01-09-2026,1300.59909820557,960,542.466750083926,3,1,1,1
01-09-2026,1309.66305732727,960,542.466750083926,3,1,1,1
01-09-2026,1317.2869682312,960,542.466750083926,3,1,1,1
01-09-2026,1326.38192176819,960,542.466750083926,3,1,1,1
01-09-2026,1333.9250087738,960,542.466750083926,3,1,1,1
01-09-2026,1343.00494194031,960,542.466750083926,3,1,1,1
01-09-2026,1350.65412521362,960,542.466750083926,3,1,1,1
01-09-2026,1359.82298851013,960,542.466750083926,3,1,1,1
01-09-2026,1367.26212501526,960,542.466750083926,3,1,1,1
01-09-2026,1376.34491920471,960,542.466750083926,3,1,1,1
01-09-2026,1383.92901420593,960,542.466750083926,3,1,1,1
01-09-2026,1393.14699172974,960,542.466750083926,3,1,1,1
01-09-2026,1400.59614181519,960,542.466750083926,3,1,1,1
01-09-2026,1409.83510017395,960,542.466750083926,3,1,1,1
01-09-2026,1418.11299324036,960,542.466750083926,4,1,1,1
01-09-2026,1427.36506462097,960,542.466750083926,4,1,1,1
01-09-2026,1434.35001373291,960,542.466750083926,4,1,1,1
01-09-2026,1443.42303276062,960,542.466750083926,4,1,1,1
01-09-2026,1450.79493522644,960,542.466750083926,4,1,1,1
01-09-2026,1459.89608764648,960,542.466750083926,4,1,1,1
01-09-2026,1467.44012832642,960,542.466750083926,4,1,1,1
01-09-2026,1476.5899181366,960,542.466750083926,4,1,1,1
01-09-2026,1484.10606384277,960,542.466750083926,4,1,1,1
01-09-2026,1493.33000183105,960,542.466750083926,4,1,1,1
01-09-2026,1500.82302093506,960,542.466750083926,4,1,1,1
01-09-2026,1509.92107391357,960,542.466750083926,4,1,1,1
01-09-2026,1517.30298995972,960,542.466750083926,4,1,1,1
01-09-2026,1526.55696868896,960,542.466750083926,4,1,1,1
01-09-2026,1533.9720249176,960,542.466750083926,4,1,1,1
01-09-2026,1543.2231426239,960,542.466750083926,4,1,1,1
01-09-2026,1550.50611495972,960,542.466750083926,4,1,1,1
01-09-2026,1559.7460269928,960,542.466750083926,4,1,1,1
01-09-2026,1567.28291511536,960,542.466750083926,4,1,1,1
01-09-2026,1576.57599449158,960,542.466750083926,4,1,1,1
01-09-2026,1583.94598960876,960,542.466750083926,4,1,1,1
01-09-2026,1593.44291687012,960,542.466750083926,4,1,1,1
01-09-2026,1600.6281375885,960,542.466750083926,4,1,1,1
01-09-2026,1609.97605323792,960,542.466750083926,4,1,1,1
01-09-2026,1617.28692054749,960,542.466750083926,4,1,1,1
01-09-2026,1626.55591964722,960,542.466750083926,4,1,1,1
01-09-2026,1633.94904136658,960,542.466750083926,4,1,1,1
01-09-2026,1643.48196983337,960,542.466750083926,4,1,1,1
01-09-2026,1650.60901641846,960,542.466750083926,4,1,1,1
01-09-2026,1659.89899635315,960,542.466750083926,4,1,1,1
01-09-2026,1667.16408729553,960,542.466750083926,4,1,1,1
01-09-2026,1676.4280796051,960,542.466750083926,4,1,1,1
01-09-2026,1683.95209312439,960,542.466750083926,4,1,1,1
01-09-2026,1693.24707984924,960,542.466750083926,4,1,1,1
01-09-2026,1700.6139755249,960,542.466750083926,4,1,1,1
01-09-2026,1710.03913879395,960,542.466750083926,4,1,1,1
01-09-2026,1717.29302406311,960,542.466750083926,4,1,1,1
01-09-2026,1726.57799720764,960,542.466750083926,4,1,1,1
01-09-2026,1733.94513130188,960,542.466750083926,4,1,1,1
01-09-2026,1743.27802658081,960,542.466750083926,4,1,1,1
01-09-2026,1750.66900253296,960,542.466750083926,4,1,1,1
01-09-2026,1760.04099845886,960,542.466750083926,4,1,1,1
01-09-2026,1767.27199554443,960,542.466750083926,4,1,1,1
01-09-2026,1776.62491798401,960,542.466750083926,4,1,1,1
01-09-2026,1783.92004966736,960,542.466750083926,4,1,1,1
01-09-2026,1793.45512390137,960,542.466750083926,4,1,1,1
01-09-2026,1800.49395561218,960,542.466750083926,4,1,1,1
01-09-2026,1810.05501747131,960,542.466750083926,4,1,1,1
01-09-2026,1817.30914115906,960,542.466750083926,4,1,1,1
01-09-2026,1826.81703567505,960,542.466750083926,4,1,1,1
01-09-2026,1833.93907546997,960,542.466750083926,4,1,1,1
01-09-2026,1843.33610534668,960,542.466750083926,4,1,1,1
01-09-2026,1850.60501098633,960,542.466750083926,4,1,1,1
01-09-2026,1859.82394218445,960,542.466750083926,4,1,1,1
01-09-2026,1867.26999282837,960,542.466750083926,4,1,1,1
01-09-2026,1876.52397155762,960,542.466750083926,4,1,1,1
01-09-2026,1883.93306732178,960,542.466750083926,4,1,1,1
01-09-2026,1893.2089805603,960,542.466750083926,4,1,1,1
01-09-2026,1900.88105201721,960,542.466750083926,4,1,1,1
01-09-2026,1910.16697883606,960,542.466750083926,4,1,1,1
01-09-2026,1917.48905181885,960,542.466750083926,4,1,1,1
01-09-2026,1926.71394348145,960,542.466750083926,4,1,1,1
01-09-2026,1934.14497375488,960,542.466750083926,4,1,1,1
01-09-2026,1943.23396682739,960,542.466750083926,4,1,1,1
01-09-2026,1950.81806182861,960,542.466750083926,4,1,1,1
01-09-2026,1959.98001098633,960,542.466750083926,4,1,1,1
01-09-2026,1967.4711227417,960,542.466750083926,4,1,1,1
01-09-2026,1976.64308547974,960,542.466750083926,4,1,1,1
01-09-2026,1984.11703109741,960,542.466750083926,4,1,1,1
01-09-2026,1993.47400665283,960,542.466750083926,4,1,1,1
01-09-2026,2000.89693069458,960,542.466750083926,4,1,1,1
01-09-2026,2010.14995574951,960,542.466750083926,4,1,1,1
01-09-2026,2017.49491691589,960,542.466750083926,4,1,1,1
01-09-2026,2026.62396430969,960,542.466750083926,4,1,1,1
01-09-2026,2034.11793708801,960,542.466750083926,4,1,1,1
01-09-2026,2043.32494735718,960,542.466750083926,4,1,1,1
01-09-2026,2050.48513412476,960,542.466750083926,4,1,1,1
01-09-2026,2059.62014198303,960,542.466750083926,4,1,1,1
01-09-2026,2067.26002693176,960,542.466750083926,4,1,1,1
01-09-2026,2076.38096809387,960,542.466750083926,4,1,1,1
01-09-2026,2083.92691612244,960,542.466750083926,4,1,1,1
01-09-2026,2093.08099746704,960,542.466750083926,4,1,1,1
01-09-2026,2102.10990905762,960,542.466750083926,4,1,1,1
01-09-2026,2111.31811141968,960,542.466750083926,4,1,1,1
01-09-2026,2117.37704277039,960,542.466750083926,4,1,1,1
01-09-2026,2126.72400474548,960,542.466750083926,4,1,1,1
01-09-2026,2134.01007652283,960,542.466750083926,4,1,1,1
01-09-2026,2143.11003684998,960,542.466750083926,4,1,1,1
01-09-2026,2150.59614181519,960,542.466750083926,4,1,1,1
01-09-2026,2159.62910652161,960,542.466750083926,4,1,1,1
01-09-2026,2167.26899147034,960,542.466750083926,4,1,1,1
01-09-2026,2176.32508277893,960,542.466750083926,4,1,1,1
01-09-2026,2183.93802642822,960,542.466750083926,4,1,1,1
01-09-2026,2193.01700592041,960,542.466750083926,4,1,1,1
01-09-2026,2200.61993598938,960,542.466750083926,4,1,1,1
01-09-2026,2209.78593826294,960,542.466750083926,4,1,1,1
01-09-2026,2217.32091903687,960,542.466750083926,4,1,1,1
01-09-2026,2226.5899181366,960,542.466750083926,4,1,1,1
01-09-2026,2233.92009735107,960,542.466750083926,4,1,1,1
01-09-2026,2242.97714233398,960,542.466750083926,4,1,1,1
01-09-2026,2250.5989074707,960,542.466750083926,4,1,1,1
01-09-2026,2259.7770690918,960,542.466750083926,4,1,1,1
01-09-2026,2267.27509498596,960,542.466750083926,4,1,1,1
01-09-2026,2276.37004852295,960,542.466750083926,4,1,1,1
01-09-2026,2283.92505645752,960,542.466750083926,4,1,1,1
01-09-2026,2293.07198524475,960,542.466750083926,4,1,1,1
01-09-2026,2300.60005187988,960,542.466750083926,4,1,1,1
01-09-2026,2309.79013442993,960,542.466750083926,4,1,1,1
01-09-2026,2317.28601455688,960,542.466750083926,4,1,1,1
01-09-2026,2326.5540599823,960,542.466750083926,4,1,1,1
01-09-2026,2333.95314216614,960,542.466750083926,4,1,1,1
01-09-2026,2343.04213523865,960,542.466750083926,4,1,1,1
01-09-2026,2350.5871295929,960,542.466750083926,4,1,1,1
01-09-2026,2359.72499847412,960,542.466750083926,4,1,1,1
01-09-2026,2367.26593971252,960,542.466750083926,4,1,1,1
01-09-2026,2376.53303146362,960,540.645710623493,4,1,1,1
01-09-2026,2383.96501541138,960,540.645710623493,4,1,1,1
01-09-2026,2393.18013191223,960,538.82467116306,4,1,1,1
01-09-2026,2400.63095092773,960,538.82467116306,4,1,1,1
01-09-2026,2409.87110137939,960,538.82467116306,4,1,1,1
01-09-2026,2417.28210449219,960,538.82467116306,4,1,1,1
01-09-2026,2426.35893821716,960,538.82467116306,4,1,1,1
01-09-2026,2433.91704559326,960,538.82467116306,4,1,1,1
01-09-2026,2442.98911094666,960,538.82467116306,4,1,1,1
01-09-2026,2451.22504234314,960,538.82467116306,5,1,1,1
01-09-2026,2460.34407615662,960,538.82467116306,5,1,1,1
01-09-2026,2467.55909919739,960,538.82467116306,5,1,1,1
01-09-2026,2476.65500640869,960,538.82467116306,5,1,1,1
01-09-2026,2484.20691490173,960,538.82467116306,5,1,1,1
01-09-2026,2493.19696426392,960,538.82467116306,5,1,1,1
01-09-2026,2500.89192390442,960,538.82467116306,5,1,1,1
01-09-2026,2510.11300086975,960,538.82467116306,5,1,1,1
01-09-2026,2517.54903793335,960,538.82467116306,5,1,1,1
01-09-2026,2526.81303024292,960,538.82467116306,5,1,1,1
01-09-2026,2534.32893753052,960,538.82467116306,5,1,1,1
01-09-2026,2543.32900047302,960,538.82467116306,5,1,1,1
01-09-2026,2551.02300643921,960,538.82467116306,5,1,1,1
01-09-2026,2560.15396118164,960,538.82467116306,5,1,1,1
01-09-2026,2567.71397590637,960,538.82467116306,5,1,1,1
01-09-2026,2577.04210281372,960,538.82467116306,5,1,1,1
01-09-2026,2584.36012268066,960,538.82467116306,5,1,1,1
01-09-2026,2593.43791007996,960,538.82467116306,5,1,1,1
01-09-2026,2601.03106498718,960,538.82467116306,5,1,1,1
01-09-2026,2610.24713516235,960,538.82467116306,5,1,1,1
01-09-2026,2617.71607398987,960,538.82467116306,5,1,1,1
01-09-2026,2626.96695327759,960,538.82467116306,5,1,1,1
01-09-2026,2634.36007499695,960,538.82467116306,5,1,1,1
01-09-2026,2643.38207244873,960,538.82467116306,5,1,1,1
