BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct
1,4.0000,ShortGroup,Right_0,5,5,100.0000
1,4.0000,ShortGroup,Up_90,5,5,100.0000
1,4.0000,ShortGroup,Left_180,5,5,100.0000
1,4.0000,ShortGroup,Down_270,4,5,80.0000
2,4.1000,ShortGroup,Right_0,5,5,100.0000
2,4.1000,ShortGroup,Up_90,4,4,100.0000
2,4.1000,ShortGroup,Left_180,5,5,100.0000
2,4.1000,ShortGroup,Down_270,5,5,100.0000
3,4.7000,ShortGroup,Right_0,4,4,100.0000
3,4.7000,ShortGroup,Up_90,4,5,80.0000
3,4.7000,ShortGroup,Left_180,5,5,100.0000
3,4.7000,ShortGroup,Down_270,5,5,100.0000
4,5.0000,ShortGroup,Right_0,2,5,40.0000
4,5.0000,ShortGroup,Up_90,3,5,60.0000
4,5.0000,ShortGroup,Left_180,4,5,80.0000
4,5.0000,ShortGroup,Down_270,2,4,50.0000
5,5.1000,MidGroup,Right_0,3,5,60.0000
5,5.1000,MidGroup,Up_90,2,5,40.0000
5,5.1000,MidGroup,Left_180,4,5,80.0000
5,5.1000,MidGroup,Down_270,4,5,80.0000
6,5.7000,MidGroup,Right_0,3,4,75.0000
6,5.7000,MidGroup,Up_90,2,5,40.0000
6,5.7000,MidGroup,Left_180,1,5,20.0000
6,5.7000,MidGroup,Down_270,1,5,20.0000
7,6.0000,MidGroup,Right_0,4,4,100.0000
7,6.0000,MidGroup,Up_90,3,5,60.0000
7,6.0000,MidGroup,Left_180,4,5,80.0000
7,6.0000,MidGroup,Down_270,4,4,100.0000
8,6.1000,MidGroup,Right_0,3,5,60.0000
8,6.1000,MidGroup,Up_90,4,5,80.0000
8,6.1000,MidGroup,Left_180,5,5,100.0000
8,6.1000,MidGroup,Down_270,3,5,60.0000
9,6.7000,LongGroup,Right_0,5,5,100.0000
9,6.7000,LongGroup,Up_90,5,5,100.0000
9,6.7000,LongGroup,Left_180,5,5,100.0000
9,6.7000,LongGroup,Down_270,4,4,100.0000
10,7.0000,LongGroup,Right_0,4,5,80.0000
10,7.0000,LongGroup,Up_90,5,5,100.0000
10,7.0000,LongGroup,Left_180,5,5,100.0000
10,7.0000,LongGroup,Down_270,2,5,40.0000
11,7.6000,LongGroup,Right_0,5,5,100.0000
11,7.6000,LongGroup,Up_90,5,5,100.0000
11,7.6000,LongGroup,Left_180,5,5,100.0000
11,7.6000,LongGroup,Down_270,4,4,100.0000
12,7.8000,LongGroup,Right_0,4,5,80.0000
12,7.8000,LongGroup,Up_90,4,5,80.0000
12,7.8000,LongGroup,Left_180,4,4,100.0000
12,7.8000,LongGroup,Down_270,5,5,100.0000
