Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,TotalTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
15-09-2026,1,1,ShortGroup,4.70,0.2681,0.1495,0.4176,1,0,Down_270,Down_270,Down_270,1,0,None,1,2,alternate
15-09-2026,1,2,LongGroup,6.00,0.3180,0.1828,0.5009,0,2,Up_90,Right_0,Right_0,1,1,Down_270,1,2,alternate
15-09-2026,1,3,ShortGroup,5.00,0.3175,0.7999,1.1174,0,2,Down_270,Left_180,Left_180,3,0,Up_90,1,2,alternate
15-09-2026,1,4,LongGroup,7.00,0.2842,0.1167,0.4009,1,0,Left_180,Left_180,Left_180,3,0,Down_270,1,2,alternate
15-09-2026,1,5,ShortGroup,5.00,0.3342,0.7334,1.0675,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,2,alternate
15-09-2026,1,6,LongGroup,7.60,0.2508,0.0999,0.3507,1,0,Down_270,Down_270,Down_270,3,1,Right_0,1,2,alternate
15-09-2026,1,7,ShortGroup,5.10,0.2842,0.7834,1.0676,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,2,alternate
15-09-2026,1,8,LongGroup,7.80,0.4175,0.1001,0.5175,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,2,alternate
15-09-2026,1,9,ShortGroup,5.70,0.3008,0.2669,0.5677,0,2,Up_90,Left_180,Left_180,3,1,Right_0,1,2,alternate
15-09-2026,1,10,ShortGroup,4.10,0.3675,0.1667,0.5342,1,0,Up_90,Up_90,Up_90,1,0,Up_90,1,2,alternate
15-09-2026,1,11,LongGroup,7.00,0.3175,0.2000,0.5175,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
15-09-2026,1,12,ShortGroup,5.70,0.3009,1.0166,1.3175,0,2,Up_90,Down_270,Down_270,3,1,Up_90,1,2,alternate
15-09-2026,1,13,LongGroup,7.80,0.2842,0.1500,0.4342,1,0,Down_270,Down_270,Down_270,3,0,Up_90,1,2,alternate
15-09-2026,1,14,ShortGroup,5.10,0.4842,1.4999,1.9842,1,0,Right_0,Right_0,Right_0,1,1,Down_270,1,2,alternate
15-09-2026,1,15,ShortGroup,5.10,0.3508,0.3667,0.7175,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1,2,alternate
15-09-2026,1,16,LongGroup,6.10,0.4175,1.2334,1.6508,1,0,Right_0,Right_0,Right_0,3,1,Up_90,1,2,alternate
15-09-2026,1,17,ShortGroup,4.00,0.3175,0.1167,0.4343,1,0,Left_180,Left_180,Left_180,1,1,Right_0,1,2,alternate
15-09-2026,1,18,ShortGroup,4.70,0.3008,0.1166,0.4174,1,0,Left_180,Left_180,Left_180,1,1,Left_180,1,2,alternate
15-09-2026,1,19,ShortGroup,4.10,0.2507,0.1500,0.4008,1,0,Left_180,Left_180,Left_180,1,1,Left_180,1,2,alternate
15-09-2026,1,20,ShortGroup,4.70,0.2841,0.8833,1.1674,0,2,Up_90,Right_0,Right_0,3,1,Left_180,1,2,alternate
15-09-2026,1,21,LongGroup,7.00,0.5175,0.2001,0.7176,1,0,Right_0,Right_0,Right_0,3,0,Up_90,1,2,alternate
15-09-2026,1,22,ShortGroup,4.00,0.2842,0.1167,0.4009,1,0,Down_270,Down_270,Down_270,1,1,Right_0,1,2,alternate
15-09-2026,1,23,ShortGroup,4.00,0.4509,0.6166,1.0674,1,0,Right_0,Right_0,Right_0,1,1,Down_270,1,2,alternate
15-09-2026,1,24,LongGroup,7.80,0.3509,0.2000,0.5509,1,0,Up_90,Up_90,Up_90,3,1,Right_0,1,2,alternate
15-09-2026,1,25,LongGroup,6.00,0.2841,1.0000,1.2842,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1,2,alternate
15-09-2026,1,26,LongGroup,6.00,0.4008,0.7001,1.1009,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,2,alternate
15-09-2026,1,27,ShortGroup,5.10,0.5175,0.1334,0.6509,0,2,Right_0,Down_270,Down_270,3,1,Down_270,1,2,alternate
15-09-2026,1,28,ShortGroup,5.70,0.3175,1.5337,1.8512,1,0,Right_0,Right_0,Right_0,1,0,Right_0,1,2,alternate
15-09-2026,1,29,ShortGroup,4.00,0.3675,0.2999,0.6675,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1,2,alternate
15-09-2026,1,30,LongGroup,6.70,0.3008,0.1834,0.4842,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1,2,alternate
15-09-2026,1,31,LongGroup,6.10,0.2842,0.6500,0.9342,1,0,Up_90,Up_90,Up_90,3,1,Left_180,1,2,alternate
15-09-2026,1,32,LongGroup,6.70,0.3007,0.1168,0.4176,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
15-09-2026,1,33,LongGroup,6.70,0.3342,0.4333,0.7675,1,0,Right_0,Right_0,Right_0,3,1,Up_90,1,2,alternate
15-09-2026,1,34,LongGroup,6.00,0.3008,0.1500,0.4509,1,0,Up_90,Up_90,Up_90,3,1,Right_0,1,2,alternate
15-09-2026,1,35,ShortGroup,5.70,0.2842,0.6666,0.9508,0,2,Down_270,Up_90,Up_90,3,1,Up_90,1,2,alternate
15-09-2026,1,36,LongGroup,7.60,0.2843,0.5499,0.8342,1,0,Left_180,Left_180,Left_180,3,0,Down_270,1,2,alternate
15-09-2026,1,37,LongGroup,6.70,0.2842,0.0834,0.3675,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,2,alternate
15-09-2026,1,38,LongGroup,7.60,0.4008,1.4332,1.8341,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1,2,alternate
