Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,ReactionTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
29-08-2026,1,1,ShortGroup,4.10,NaN,NaN,NaN,0,1,None,Left_180,Left_180,0,0,None,1,3,3cat
29-08-2026,1,2,LongGroup,7.80,0.4008,0.1672,0.5680,0,2,Right_0,Down_270,Down_270,2,0,None,1,3,3cat
29-08-2026,1,3,ShortGroup,5.00,0.2677,0.0509,0.3185,1,0,Left_180,Left_180,Left_180,1,0,Right_0,1,3,3cat
29-08-2026,1,4,MidGroup,6.00,0.3681,0.0998,0.4679,1,0,Down_270,Down_270,Down_270,2,1,Left_180,1,3,3cat
29-08-2026,1,5,MidGroup,5.10,0.3509,0.2500,0.6009,0,2,Up_90,Right_0,Right_0,1,1,Down_270,1,3,3cat
29-08-2026,1,6,ShortGroup,4.00,0.4176,0.2167,0.6343,1,0,Up_90,Up_90,Up_90,1,0,Up_90,1,3,3cat
29-08-2026,1,7,LongGroup,6.70,0.2842,0.1003,0.3845,0,2,Down_270,Right_0,Right_0,2,1,Up_90,1,3,3cat
29-08-2026,1,8,LongGroup,7.60,0.5341,1.0999,1.6340,1,0,Up_90,Up_90,Up_90,3,0,Down_270,1,3,3cat
29-08-2026,1,9,LongGroup,7.80,0.3508,0.1667,0.5176,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,3,3cat
29-08-2026,1,10,LongGroup,7.60,0.3509,0.0505,0.4014,1,0,Right_0,Right_0,Right_0,3,1,Up_90,1,3,3cat
29-08-2026,1,11,LongGroup,7.60,0.3680,0.0832,0.4512,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,3,3cat
29-08-2026,1,12,LongGroup,7.80,0.2842,0.1667,0.4509,1,0,Left_180,Left_180,Left_180,3,1,Left_180,1,3,3cat
29-08-2026,1,13,ShortGroup,4.70,0.3674,0.1501,0.5175,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,3,3cat
29-08-2026,1,14,LongGroup,6.70,0.3509,0.4332,0.7841,0,2,Right_0,Up_90,Up_90,2,1,Right_0,1,3,3cat
29-08-2026,1,15,ShortGroup,5.00,0.4675,0.2667,0.7342,1,0,Up_90,Up_90,Up_90,1,0,Right_0,1,3,3cat
29-08-2026,1,16,ShortGroup,5.00,0.3843,0.0999,0.4842,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1,3,3cat
29-08-2026,1,17,MidGroup,6.10,0.3176,0.6332,0.9508,1,0,Right_0,Right_0,Right_0,2,1,Right_0,1,3,3cat
29-08-2026,1,18,MidGroup,6.10,0.4008,0.1834,0.5842,1,0,Up_90,Up_90,Up_90,2,1,Right_0,1,3,3cat
29-08-2026,1,19,ShortGroup,4.70,0.2842,0.0334,0.3176,1,0,Left_180,Left_180,Left_180,1,1,Up_90,1,3,3cat
29-08-2026,1,20,LongGroup,6.70,0.3675,0.2334,0.6009,0,2,Up_90,Left_180,Left_180,2,1,Left_180,1,3,3cat
29-08-2026,1,21,MidGroup,5.70,0.4008,1.3169,1.7177,1,0,Left_180,Left_180,Left_180,2,0,Up_90,1,3,3cat
29-08-2026,1,22,MidGroup,6.00,0.5007,0.2335,0.7342,1,0,Right_0,Right_0,Right_0,2,1,Left_180,1,3,3cat
29-08-2026,1,23,LongGroup,6.70,0.3508,0.1334,0.4842,0,2,Left_180,Down_270,Down_270,2,1,Right_0,1,3,3cat
29-08-2026,1,24,MidGroup,6.10,0.3509,0.6333,0.9842,0,2,Right_0,Left_180,Left_180,3,0,Left_180,1,3,3cat
29-08-2026,1,25,MidGroup,6.00,0.3008,0.5335,0.8342,1,0,Left_180,Left_180,Left_180,2,0,Right_0,1,3,3cat
29-08-2026,1,26,ShortGroup,5.00,0.2842,0.1167,0.4009,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1,3,3cat
29-08-2026,1,27,LongGroup,7.00,0.4175,0.0834,0.5009,1,0,Up_90,Up_90,Up_90,3,1,Down_270,1,3,3cat
29-08-2026,1,28,MidGroup,5.10,0.3676,0.6999,1.0675,1,0,Up_90,Up_90,Up_90,2,1,Up_90,1,3,3cat
29-08-2026,1,29,ShortGroup,4.10,0.5009,0.1334,0.6342,1,0,Up_90,Up_90,Up_90,1,1,Up_90,1,3,3cat
29-08-2026,1,30,ShortGroup,4.00,0.2675,0.0668,0.3343,1,0,Left_180,Left_180,Left_180,1,1,Up_90,1,3,3cat
29-08-2026,1,31,ShortGroup,4.00,0.3842,0.1167,0.5009,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,3,3cat
29-08-2026,1,32,LongGroup,7.00,0.2675,0.3667,0.6342,0,2,Down_270,Right_0,Right_0,2,1,Right_0,1,3,3cat
29-08-2026,1,33,LongGroup,7.80,0.3675,0.1500,0.5175,1,0,Right_0,Right_0,Right_0,3,0,Down_270,1,3,3cat
29-08-2026,1,34,MidGroup,5.10,0.2841,0.0835,0.3675,0,2,Left_180,Down_270,Down_270,1,1,Right_0,1,3,3cat
29-08-2026,1,35,MidGroup,5.70,0.6842,0.4167,1.1010,1,0,Right_0,Right_0,Right_0,2,0,Left_180,1,3,3cat
29-08-2026,1,36,ShortGroup,4.00,0.2175,0.1668,0.3843,1,0,Down_270,Down_270,Down_270,1,1,Right_0,1,3,3cat
29-08-2026,1,37,LongGroup,7.60,0.2843,0.1000,0.3843,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,3,3cat
29-08-2026,1,38,ShortGroup,4.70,0.2676,0.1500,0.4176,1,0,Down_270,Down_270,Down_270,1,1,Down_270,1,3,3cat
29-08-2026,1,39,MidGroup,5.70,0.3842,0.4167,0.8009,1,0,Up_90,Up_90,Up_90,2,1,Down_270,1,3,3cat
29-08-2026,1,40,MidGroup,6.10,0.2843,0.5833,0.8675,1,0,Down_270,Down_270,Down_270,2,1,Up_90,1,3,3cat
29-08-2026,1,41,MidGroup,5.70,0.2842,0.5500,0.8342,1,0,Down_270,Down_270,Down_270,2,1,Down_270,1,3,3cat
29-08-2026,1,42,LongGroup,7.00,0.4175,0.1833,0.6008,0,2,Right_0,Left_180,Left_180,2,1,Down_270,1,3,3cat
