Date,Block,TrialNumInBlock,StimulusGroup,BarSizeVA_deg,DecisionTime_s,ExecutionTime_s,TotalTime_s,IsCorrect,ErrorType,DirectionChosen,DirectionCorrect,PlannedDirection,ChosenTarget,PrevTrialCorrect,PrevTrialDirection,Attempt,NumCategories,SessionMode
05-09-2026,1,1,ShortGroup,5.70,0.3341,1.0001,1.3342,0,2,Right_0,Up_90,Up_90,3,0,None,1,2,alternate
05-09-2026,1,2,ShortGroup,4.00,0.4342,0.1001,0.5342,1,0,Right_0,Right_0,Right_0,1,0,Right_0,1,2,alternate
05-09-2026,1,3,LongGroup,6.00,0.4509,1.9999,2.4508,0,2,Right_0,Left_180,Left_180,1,1,Right_0,1,2,alternate
05-09-2026,1,4,LongGroup,6.70,0.3009,0.7000,1.0009,1,0,Left_180,Left_180,Left_180,3,0,Right_0,1,2,alternate
05-09-2026,1,5,LongGroup,6.00,0.3842,0.4667,0.8509,0,2,Down_270,Right_0,Right_0,1,1,Left_180,1,2,alternate
05-09-2026,1,6,ShortGroup,5.70,0.4674,0.5001,0.9675,0,2,Up_90,Right_0,Right_0,3,0,Down_270,1,2,alternate
05-09-2026,1,7,LongGroup,7.00,0.2174,0.1501,0.3675,1,0,Down_270,Down_270,Down_270,3,0,Up_90,1,2,alternate
05-09-2026,1,8,LongGroup,7.00,0.3175,0.0674,0.3849,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1,2,alternate
05-09-2026,1,9,ShortGroup,4.70,0.3008,0.1333,0.4341,1,0,Left_180,Left_180,Left_180,1,1,Right_0,1,2,alternate
05-09-2026,1,10,LongGroup,6.70,0.2342,0.2667,0.5008,1,0,Up_90,Up_90,Up_90,3,1,Left_180,1,2,alternate
05-09-2026,1,11,LongGroup,7.60,0.3508,0.1339,0.4847,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
05-09-2026,1,12,ShortGroup,4.00,0.2841,0.1167,0.4008,1,0,Down_270,Down_270,Down_270,1,1,Up_90,1,2,alternate
05-09-2026,1,13,LongGroup,7.80,0.2175,0.2000,0.4175,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,2,alternate
05-09-2026,1,14,ShortGroup,4.10,0.2841,0.1168,0.4009,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,2,alternate
05-09-2026,1,15,LongGroup,6.10,0.3012,0.9330,1.2342,1,0,Right_0,Right_0,Right_0,3,1,Left_180,1,2,alternate
05-09-2026,1,16,ShortGroup,5.70,0.3175,0.1333,0.4509,0,2,Right_0,Down_270,Down_270,3,1,Right_0,1,2,alternate
05-09-2026,1,17,ShortGroup,5.70,0.3342,0.8005,1.1347,1,0,Left_180,Left_180,Left_180,1,0,Right_0,1,2,alternate
05-09-2026,1,18,ShortGroup,5.00,0.3508,0.8333,1.1842,0,2,Right_0,Down_270,Down_270,3,1,Left_180,1,2,alternate
05-09-2026,1,19,LongGroup,6.70,0.3175,0.0834,0.4009,1,0,Right_0,Right_0,Right_0,3,0,Right_0,1,2,alternate
05-09-2026,1,20,LongGroup,6.10,0.3842,0.6000,0.9842,1,0,Up_90,Up_90,Up_90,3,1,Right_0,1,2,alternate
05-09-2026,1,21,LongGroup,7.60,0.2341,0.1336,0.3677,1,0,Down_270,Down_270,Down_270,3,1,Up_90,1,2,alternate
05-09-2026,1,22,LongGroup,7.60,0.2342,0.1666,0.4008,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1,2,alternate
05-09-2026,1,23,ShortGroup,5.10,0.2842,0.6501,0.9343,0,2,Left_180,Up_90,Up_90,3,1,Right_0,1,2,alternate
05-09-2026,1,24,ShortGroup,5.00,0.3508,0.8667,1.2175,0,2,Up_90,Right_0,Right_0,3,0,Left_180,1,2,alternate
05-09-2026,1,25,ShortGroup,4.70,0.2841,0.0835,0.3676,1,0,Down_270,Down_270,Down_270,1,0,Up_90,1,2,alternate
05-09-2026,1,26,ShortGroup,4.00,0.2842,0.0999,0.3841,1,0,Left_180,Left_180,Left_180,1,1,Down_270,1,2,alternate
05-09-2026,1,27,LongGroup,7.80,0.4011,0.0997,0.5008,1,0,Up_90,Up_90,Up_90,3,1,Left_180,1,2,alternate
05-09-2026,1,28,ShortGroup,4.70,0.5675,0.1667,0.7342,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1,2,alternate
05-09-2026,1,29,LongGroup,7.60,0.2675,0.0500,0.3175,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,2,alternate
05-09-2026,1,30,ShortGroup,4.70,0.3843,0.1667,0.5509,1,0,Up_90,Up_90,Up_90,1,1,Left_180,1,2,alternate
05-09-2026,1,31,ShortGroup,5.10,0.4347,1.1662,1.6009,0,2,Up_90,Down_270,Down_270,3,1,Up_90,1,2,alternate
05-09-2026,1,32,LongGroup,7.80,0.3509,0.0668,0.4176,1,0,Right_0,Right_0,Right_0,3,0,Up_90,1,2,alternate
05-09-2026,1,33,LongGroup,6.00,0.4676,0.4500,0.9176,0,2,Down_270,Up_90,Up_90,1,1,Right_0,1,2,alternate
05-09-2026,1,34,ShortGroup,4.10,0.3341,0.1168,0.4510,1,0,Down_270,Down_270,Down_270,1,0,Down_270,1,2,alternate
05-09-2026,1,35,ShortGroup,5.10,0.3175,0.4167,0.7342,0,2,Up_90,Left_180,Left_180,3,1,Down_270,1,2,alternate
05-09-2026,1,36,LongGroup,7.00,0.3842,0.1167,0.5009,1,0,Up_90,Up_90,Up_90,3,0,Up_90,1,2,alternate
05-09-2026,1,37,ShortGroup,5.00,0.3342,1.6333,1.9675,0,2,Right_0,Up_90,Up_90,3,1,Up_90,1,2,alternate
05-09-2026,1,38,LongGroup,7.00,0.2842,0.0501,0.3343,1,0,Left_180,Left_180,Left_180,3,0,Right_0,1,2,alternate
05-09-2026,1,39,LongGroup,6.10,0.3507,0.4168,0.7676,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,2,alternate
05-09-2026,1,40,ShortGroup,4.00,0.4008,2.4666,2.8674,0,1,None,Up_90,Up_90,0,1,Down_270,1,2,alternate
05-09-2026,1,41,LongGroup,6.10,0.3175,0.2834,0.6009,1,0,Left_180,Left_180,Left_180,3,0,None,1,2,alternate
05-09-2026,1,42,LongGroup,6.00,0.2342,0.2001,0.4342,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,2,alternate
05-09-2026,1,43,ShortGroup,4.10,0.3675,0.1501,0.5175,1,0,Up_90,Up_90,Up_90,1,1,Down_270,1,2,alternate
05-09-2026,1,44,ShortGroup,5.00,0.3175,0.2501,0.5676,0,2,Right_0,Left_180,Left_180,3,1,Up_90,1,2,alternate
05-09-2026,1,45,LongGroup,6.70,0.2342,0.1167,0.3509,1,0,Down_270,Down_270,Down_270,3,0,Right_0,1,2,alternate
05-09-2026,1,46,ShortGroup,5.10,0.2842,0.5333,0.8175,0,2,Left_180,Right_0,Right_0,3,1,Down_270,1,2,alternate
05-09-2026,1,47,LongGroup,7.80,0.2507,0.0669,0.3176,1,0,Left_180,Left_180,Left_180,3,0,Left_180,1,2,alternate
05-09-2026,1,48,ShortGroup,4.10,0.3841,0.0834,0.4675,1,0,Right_0,Right_0,Right_0,1,1,Left_180,1,2,alternate
05-09-2026,2,1,ShortGroup,5.00,0.3342,0.1667,0.5009,0,2,Right_0,Left_180,Left_180,3,1,Right_0,1,2,alternate
05-09-2026,2,2,LongGroup,6.00,0.2842,1.5333,1.8175,1,0,Left_180,Left_180,Left_180,3,0,Right_0,1,2,alternate
05-09-2026,2,3,ShortGroup,5.10,0.3508,1.2000,1.5509,0,2,Right_0,Down_270,Down_270,3,1,Left_180,1,2,alternate
05-09-2026,2,4,ShortGroup,5.70,0.4174,0.8834,1.3007,1,0,Down_270,Down_270,Down_270,1,0,Right_0,1,2,alternate
05-09-2026,2,5,LongGroup,7.80,0.3342,0.0833,0.4176,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1,2,alternate
05-09-2026,2,6,LongGroup,6.00,0.3675,0.2499,0.6174,1,0,Up_90,Up_90,Up_90,3,1,Right_0,1,2,alternate
05-09-2026,2,7,ShortGroup,4.00,0.5009,0.1000,0.6009,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1,2,alternate
05-09-2026,2,8,ShortGroup,5.70,0.2842,0.3500,0.6342,0,2,Left_180,Up_90,Up_90,3,1,Right_0,1,2,alternate
05-09-2026,2,9,ShortGroup,4.10,0.4009,0.0667,0.4676,1,0,Right_0,Right_0,Right_0,1,0,Left_180,1,2,alternate
05-09-2026,2,10,LongGroup,7.00,0.3342,0.0667,0.4009,1,0,Right_0,Right_0,Right_0,3,1,Right_0,1,2,alternate
05-09-2026,2,11,LongGroup,6.10,0.2842,0.1332,0.4174,1,0,Left_180,Left_180,Left_180,3,1,Right_0,1,2,alternate
05-09-2026,2,12,ShortGroup,5.10,0.3342,0.1500,0.4842,0,2,Right_0,Left_180,Left_180,3,1,Left_180,1,2,alternate
05-09-2026,2,13,ShortGroup,4.70,0.5175,1.3667,1.8842,1,0,Down_270,Down_270,Down_270,1,0,Right_0,1,2,alternate
05-09-2026,2,14,LongGroup,6.00,0.3009,0.0667,0.3676,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1,2,alternate
05-09-2026,2,15,ShortGroup,4.70,0.3675,0.1667,0.5342,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1,2,alternate
05-09-2026,2,16,ShortGroup,5.00,0.3842,0.4167,0.8009,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1,2,alternate
05-09-2026,2,17,LongGroup,6.70,0.2174,0.2835,0.5009,1,0,Right_0,Right_0,Right_0,3,1,Right_0,1,2,alternate
05-09-2026,2,18,ShortGroup,5.10,0.2675,0.0835,0.3510,0,2,Left_180,Right_0,Right_0,3,1,Right_0,1,2,alternate
05-09-2026,2,19,LongGroup,6.10,0.5175,0.4166,0.9341,1,0,Up_90,Up_90,Up_90,3,0,Left_180,1,2,alternate
05-09-2026,2,20,LongGroup,7.60,0.3842,0.1501,0.5342,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
05-09-2026,2,21,LongGroup,7.00,0.2675,0.1167,0.3842,1,0,Down_270,Down_270,Down_270,3,1,Up_90,1,2,alternate
05-09-2026,2,22,ShortGroup,5.70,0.4008,1.7833,2.1842,0,2,Down_270,Left_180,Left_180,3,1,Down_270,1,2,alternate
05-09-2026,2,23,ShortGroup,5.70,0.2842,1.0167,1.3009,0,2,Up_90,Right_0,Right_0,3,0,Down_270,1,2,alternate
05-09-2026,2,24,LongGroup,7.80,0.3841,0.1337,0.5178,1,0,Up_90,Up_90,Up_90,3,0,Up_90,1,2,alternate
05-09-2026,2,25,ShortGroup,4.00,0.2507,0.1167,0.3675,0,2,Down_270,Left_180,Left_180,3,1,Up_90,1,2,alternate
05-09-2026,2,26,LongGroup,7.60,0.2509,0.0333,0.2841,1,0,Left_180,Left_180,Left_180,3,0,Down_270,1,2,alternate
05-09-2026,2,27,ShortGroup,5.00,0.8009,0.4667,1.2676,1,0,Down_270,Down_270,Down_270,1,1,Left_180,1,2,alternate
05-09-2026,2,28,ShortGroup,5.10,0.3842,0.1667,0.5508,1,0,Up_90,Up_90,Up_90,1,1,Down_270,1,2,alternate
05-09-2026,2,29,ShortGroup,4.70,0.3508,0.2167,0.5675,1,0,Right_0,Right_0,Right_0,1,1,Up_90,1,2,alternate
05-09-2026,2,30,LongGroup,7.00,0.3508,0.1001,0.4509,1,0,Up_90,Up_90,Up_90,3,1,Right_0,1,2,alternate
05-09-2026,2,31,LongGroup,7.80,0.2842,0.2167,0.5008,1,0,Down_270,Down_270,Down_270,3,1,Up_90,1,2,alternate
05-09-2026,2,32,LongGroup,6.70,0.2674,0.1001,0.3676,1,0,Left_180,Left_180,Left_180,3,1,Down_270,1,2,alternate
05-09-2026,2,33,ShortGroup,4.10,0.3008,0.1001,0.4009,1,0,Left_180,Left_180,Left_180,1,1,Left_180,1,2,alternate
05-09-2026,2,34,ShortGroup,4.70,0.3008,0.3500,0.6509,1,0,Left_180,Left_180,Left_180,1,1,Left_180,1,2,alternate
05-09-2026,2,35,LongGroup,6.10,0.2675,0.2167,0.4843,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,2,alternate
05-09-2026,2,36,LongGroup,6.10,0.3508,0.1334,0.4842,1,0,Right_0,Right_0,Right_0,3,1,Down_270,1,2,alternate
05-09-2026,2,37,LongGroup,7.60,0.3341,0.0667,0.4009,1,0,Right_0,Right_0,Right_0,3,1,Right_0,1,2,alternate
05-09-2026,2,38,ShortGroup,4.00,0.3341,0.1501,0.4843,1,0,Down_270,Down_270,Down_270,1,1,Right_0,1,2,alternate
05-09-2026,2,39,LongGroup,7.60,0.2675,0.1166,0.3841,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,2,alternate
05-09-2026,2,40,LongGroup,6.70,0.2675,0.1334,0.4009,1,0,Down_270,Down_270,Down_270,3,1,Down_270,1,2,alternate
05-09-2026,2,41,ShortGroup,4.10,0.2676,0.0832,0.3508,1,0,Down_270,Down_270,Down_270,1,1,Down_270,1,2,alternate
05-09-2026,2,42,ShortGroup,4.00,0.4342,0.2000,0.6341,1,0,Up_90,Up_90,Up_90,1,1,Down_270,1,2,alternate
05-09-2026,2,43,LongGroup,7.00,0.2842,0.0834,0.3675,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1,2,alternate
05-09-2026,2,44,LongGroup,6.00,0.3008,0.9500,1.2509,1,0,Down_270,Down_270,Down_270,3,1,Left_180,1,2,alternate
05-09-2026,2,45,ShortGroup,5.00,0.3842,0.4500,0.8342,1,0,Up_90,Up_90,Up_90,1,1,Down_270,1,2,alternate
05-09-2026,2,46,LongGroup,6.70,0.3507,0.1335,0.4842,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,2,alternate
05-09-2026,2,47,LongGroup,7.80,0.2508,0.0834,0.3342,1,0,Left_180,Left_180,Left_180,3,1,Up_90,1,2,alternate
05-09-2026,2,48,ShortGroup,4.10,0.4175,0.1666,0.5841,1,0,Up_90,Up_90,Up_90,1,1,Left_180,1,2,alternate
05-09-2026,3,1,LongGroup,7.80,1.0008,0.7168,1.7176,1,0,Up_90,Up_90,Up_90,3,1,Up_90,1,3,alternate
05-09-2026,3,2,MidGroup,6.10,0.6342,0.5001,1.1342,1,0,Down_270,Down_270,Down_270,2,1,Up_90,1,3,alternate
05-09-2026,3,3,MidGroup,5.10,0.6175,1.2167,1.8341,1,0,Right_0,Right_0,Right_0,2,1,Down_270,1,3,alternate
05-09-2026,3,4,ShortGroup,4.00,0.6008,0.4167,1.0175,1,0,Up_90,Up_90,Up_90,1,1,Right_0,1,3,alternate
