BarLengthIndex,BarSizeVA_deg,StimulusGroup,Direction,CorrectTrials,TotalTrials,PctCorrect_pct
1,4.0000,ShortGroup,Right_0,3,3,100.0000
1,4.0000,ShortGroup,Up_90,3,3,100.0000
1,4.0000,ShortGroup,Left_180,3,3,100.0000
1,4.0000,ShortGroup,Down_270,3,3,100.0000
2,4.1000,ShortGroup,Right_0,3,3,100.0000
2,4.1000,ShortGroup,Up_90,3,3,100.0000
2,4.1000,ShortGroup,Left_180,3,3,100.0000
2,4.1000,ShortGroup,Down_270,3,3,100.0000
3,4.7000,ShortGroup,Right_0,0,3,0.0000
3,4.7000,ShortGroup,Up_90,1,3,33.3333
3,4.7000,ShortGroup,Left_180,2,3,66.6667
3,4.7000,ShortGroup,Down_270,1,3,33.3333
4,5.0000,ShortGroup,Right_0,2,3,66.6667
4,5.0000,ShortGroup,Up_90,1,3,33.3333
4,5.0000,ShortGroup,Left_180,2,3,66.6667
4,5.0000,ShortGroup,Down_270,2,3,66.6667
5,5.1000,MidGroup,Right_0,3,3,100.0000
5,5.1000,MidGroup,Up_90,3,3,100.0000
5,5.1000,MidGroup,Left_180,3,3,100.0000
5,5.1000,MidGroup,Down_270,2,3,66.6667
6,5.7000,MidGroup,Right_0,2,3,66.6667
6,5.7000,MidGroup,Up_90,3,3,100.0000
6,5.7000,MidGroup,Left_180,2,3,66.6667
6,5.7000,MidGroup,Down_270,3,3,100.0000
7,6.0000,MidGroup,Right_0,1,3,33.3333
7,6.0000,MidGroup,Up_90,1,2,50.0000
7,6.0000,MidGroup,Left_180,3,3,100.0000
7,6.0000,MidGroup,Down_270,2,3,66.6667
8,6.1000,MidGroup,Right_0,1,3,33.3333
8,6.1000,MidGroup,Up_90,1,3,33.3333
8,6.1000,MidGroup,Left_180,1,3,33.3333
8,6.1000,MidGroup,Down_270,2,3,66.6667
9,6.7000,LongGroup,Right_0,2,3,66.6667
9,6.7000,LongGroup,Up_90,3,3,100.0000
9,6.7000,LongGroup,Left_180,3,3,100.0000
9,6.7000,LongGroup,Down_270,3,3,100.0000
10,7.0000,LongGroup,Right_0,3,3,100.0000
10,7.0000,LongGroup,Up_90,3,3,100.0000
10,7.0000,LongGroup,Left_180,3,3,100.0000
10,7.0000,LongGroup,Down_270,3,3,100.0000
11,7.6000,LongGroup,Right_0,3,3,100.0000
11,7.6000,LongGroup,Up_90,3,3,100.0000
11,7.6000,LongGroup,Left_180,3,3,100.0000
11,7.6000,LongGroup,Down_270,3,3,100.0000
12,7.8000,LongGroup,Right_0,3,3,100.0000
12,7.8000,LongGroup,Up_90,3,3,100.0000
12,7.8000,LongGroup,Left_180,3,3,100.0000
12,7.8000,LongGroup,Down_270,3,3,100.0000
